semana_inicio,categoria_presupuestaria,registros_excluidos,importe_nominal_excluido
2019-11-25,IMPUTADO,1,461.75
2019-12-02,IMPUTADO,1,461.75
2019-12-09,IMPUTADO,1,461.75
2019-12-16,IMPUTADO,1,461.75
2019-12-23,IMPUTADO,1,461.75
2019-12-30,IMPUTADO,1,461.75
2020-01-06,IMPUTADO,1,461.75
2020-01-13,IMPUTADO,1,461.75
2020-01-20,IMPUTADO,1,461.75
2020-01-27,IMPUTADO,1,461.75
2020-02-03,IMPUTADO,1,461.75
2020-02-10,IMPUTADO,1,461.75
2020-02-17,IMPUTADO,1,461.75
2020-02-24,IMPUTADO,1,461.75
2020-03-02,IMPUTADO,1,461.75
2020-03-09,IMPUTADO,1,461.75
2020-03-16,IMPUTADO,1,461.75
2020-03-23,IMPUTADO,1,461.75
2020-03-30,IMPUTADO,1,461.75
2020-04-06,IMPUTADO,1,461.75
2020-04-13,HERRAMIENTA,1,45.0
2020-04-20,IMPUTADO,1,375.5
2020-04-27,IMPUTADO,1,375.5
2020-05-04,IMPUTADO,1,375.5
2020-05-11,IMPUTADO,1,375.5
2020-05-25,IMPUTADO,1,158.75
2020-06-01,IMPUTADO,1,158.75
2020-06-15,IMPUTADO,1,180.25
2020-06-22,IMPUTADO,1,180.25
2020-06-29,IMPUTADO,1,180.25
2020-07-06,IMPUTADO,1,180.25
2020-07-13,IMPUTADO,1,180.25
2020-07-20,HERRAMIENTA,1,25.0
2020-07-27,IMPUTADO,1,194.25
2020-08-03,IMPUTADO,1,194.25
2020-08-10,IMPUTADO,1,194.25
2020-08-17,IMPUTADO,1,194.25
2020-08-24,IMPUTADO,1,194.25
2020-08-31,IMPUTADO,1,194.25
2020-09-07,IMPUTADO,1,194.25
2020-09-14,IMPUTADO,1,194.25
2020-09-28,IMPUTADO,1,104.5
2020-10-26,HERRAMIENTA,2,142.0
2020-11-02,IMPUTADO,1,197.5
2020-11-09,IMPUTADO,1,197.5
2020-11-23,IMPUTADO,1,149.75
2020-11-30,IMPUTADO,1,149.75
2020-12-07,HERRAMIENTA,1,13.0
2020-12-21,IMPUTADO,1,333.5
2020-12-28,OTROS,1,27.5
2021-01-04,IMPUTADO,1,250.75
2021-01-11,IMPUTADO,1,250.75
2021-01-18,IMPUTADO,1,250.75
2021-01-25,IMPUTADO,1,250.75
2021-02-01,IMPUTADO,1,250.75
2021-02-08,IMPUTADO,1,250.75
2021-02-22,IMPUTADO,1,150.0
2021-03-01,IMPUTADO,1,150.0
2021-03-15,IMPUTADO,1,93.0
2021-03-22,IMPUTADO,1,93.0
2021-03-29,IMPUTADO,1,93.0
2021-04-05,IMPUTADO,1,93.0
2021-04-12,IMPUTADO,1,93.0
2021-04-19,IMPUTADO,1,93.0
2021-04-26,IMPUTADO,1,93.0
2021-05-10,IMPUTADO,1,271.5
2021-05-17,HERRAMIENTA,3,325.0
2021-05-24,IMPUTADO,1,251.5
2021-06-07,IMPUTADO,1,47.5
2021-07-05,IMPUTADO,1,672.75
2021-07-12,IMPUTADO,1,672.75
2021-07-19,HERRAMIENTA,2,111.0
2021-07-26,HERRAMIENTA,1,35.0
2021-08-02,IMPUTADO,1,693.0
2021-08-09,IMPUTADO,1,693.0
2021-08-16,IMPUTADO,1,693.0
2021-08-23,HERRAMIENTA,1,33.0
2021-08-30,IMPUTADO,1,406.0
2021-09-06,HERRAMIENTA,1,15.0
2021-09-20,HERRAMIENTA,1,67.0
2021-09-27,COMBUSTIBLE,2,804.0
2021-09-27,HERRAMIENTA,1,313.0
2021-10-11,HERRAMIENTA,1,300.0
2021-11-15,HERRAMIENTA,3,255.0
2021-12-27,COMBUSTIBLE,2,330.9
2021-12-27,HERRAMIENTA,1,460.0
2022-01-03,HERRAMIENTA,1,40.0
2022-01-10,OTROS,1,43.5
2022-01-17,HERRAMIENTA,1,19.72
2022-01-31,COMBUSTIBLE,2,330.9
2022-02-28,COMBUSTIBLE,1,120.0
2022-03-07,IMPUTADO,1,538.25
2022-03-14,HERRAMIENTA,1,10.0
2022-03-21,COMBUSTIBLE,1,210.9
2022-03-28,COMBUSTIBLE,2,330.9
2022-04-11,IMPUTADO,1,939.45
2022-04-18,IMPUTADO,1,939.45
2022-04-25,COMBUSTIBLE,2,330.9
2022-05-02,IMPUTADO,1,1084.45
2022-05-09,HERRAMIENTA,1,35.0
2022-05-09,OTROS,1,10.0
2022-05-16,IMPUTADO,1,874.95
2022-05-23,IMPUTADO,1,874.95
2022-05-30,COMBUSTIBLE,2,330.9
2022-06-27,COMBUSTIBLE,2,330.9
2022-06-27,HERRAMIENTA,1,18.5
2022-07-04,IMPUTADO,1,524.4
2022-07-11,IMPUTADO,1,524.4
2022-07-25,HERRAMIENTA,2,125.0
2022-08-01,COMBUSTIBLE,2,330.9
2022-08-29,COMBUSTIBLE,2,330.9
2022-09-12,HERRAMIENTA,2,130.0
2022-09-19,OTROS,2,65.0
2022-09-26,COMBUSTIBLE,2,330.9
2022-09-26,HERRAMIENTA,1,10.0
2022-10-10,IMPUTADO,1,328.75
2022-10-17,HERRAMIENTA,1,10.0
2022-10-24,HERRAMIENTA,1,140.0
2022-10-31,COMBUSTIBLE,2,330.9
2022-10-31,HERRAMIENTA,1,316.0
2022-11-28,COMBUSTIBLE,2,330.9
2022-12-05,HERRAMIENTA,1,463.0
2022-12-26,COMBUSTIBLE,1,100.6
2022-12-26,HERRAMIENTA,5,247.0
2023-01-02,MUEBLES,1,2500.0
2023-01-02,OTROS,4,88.0
2023-01-16,HERRAMIENTA,2,59.0
2023-01-16,OTROS,1,19.96
