origen,diferencia_monetaria,diferencia_pp
2024-01-01,,
2024-01-08,-26270.595014041217,-1.1549154805154629
2024-01-15,207470.8464649442,0.24384370213434714
2024-01-22,-137818.29086027175,-0.9387865126119532
2024-01-29,,
2024-02-05,608412.5456685985,-0.5303022563033419
2024-02-12,-1085372.2175753969,-1.1228522227885005
2024-02-19,,
2024-02-26,3366865.484527504,0.21988380155168485
2024-03-04,-37059.79204781701,0.9215008591915215
2024-03-11,-201180.2592035061,-0.4168606901726708
2024-03-18,,
2024-03-25,940544.1966410188,1.288630712245162
2024-04-01,1131085.8302483708,1.0974597380285758
2024-04-08,-104214.23690333815,-1.1938039028431557
2024-04-15,,
2024-04-22,-240518.04762965918,1.8509513852671944
2024-04-29,1317046.1993785528,-0.06640798152303606
2024-05-06,,
2024-05-13,,
2024-05-20,,
2024-05-27,,
2024-06-03,845570.6115265383,-1.3062084534511573
2024-06-10,,
2024-06-17,,
2024-06-24,,
