horizonte,stat,ml,peso,mse,n
2,holt_damped,ridge,0.5,14411.810975049459,5
2,holt_damped,ridge,0.75,3672.6171961060545,5
2,holt_damped,mlp,0.25,18844.444636668315,5
2,holt_damped,mlp,0.5,8428.94000471242,5
2,holt_damped,mlp,0.75,2167.517953676744,5
3,ss_ar1,hgb,0.25,82852.96838370083,5
3,ss_ar1,hgb,0.5,74361.41462805659,5
3,ss_ar1,hgb,0.75,75049.99063767695,5
3,ss_ar1,rf,0.25,34116.248995933114,5
3,ss_ar1,rf,0.5,46366.33184299985,5
3,ss_ar1,rf,0.75,63300.48098187614,5
3,ss_ar1,ridge,0.25,46143.69219257777,5
3,ss_ar1,ridge,0.5,50334.068039797225,5
3,ss_ar1,ridge,0.75,63259.06944645864,5
3,ss_ar1,mlp,0.25,26730.583188256744,5
3,ss_ar1,mlp,0.5,38482.173789458386,5
3,ss_ar1,mlp,0.75,57878.21153089347,5
3,ss_arima111,hgb,0.25,57000.923392638935,5
3,ss_arima111,hgb,0.5,25753.591060698815,5
3,ss_arima111,hgb,0.75,6782.65490878939,5
3,ss_arima111,rf,0.25,15241.84750245027,5
3,ss_arima111,rf,0.5,7062.032939080849,5
3,ss_arima111,rf,0.75,2010.7887505676495,5
3,ss_arima111,ridge,0.25,28826.73737324127,5
3,ss_arima111,ridge,0.5,13106.364701406665,5
3,ss_arima111,ridge,0.75,3526.823889296464,5
3,ss_arima111,mlp,0.25,12956.5709561318,5
3,ss_arima111,mlp,0.5,5978.393900683239,5
3,ss_arima111,mlp,0.75,1688.9085609428628,5
3,ss_arima111,rf_residual__ss_arima111,0.25,9351.485543315048,5
3,ss_arima111,rf_residual__ss_arima111,0.5,4352.740701418099,5
3,ss_arima111,rf_residual__ss_arima111,0.75,1264.9504992833074,5
3,ss_arima111,nn_residual__ss_arima111,0.25,5220.9576954598615,5
3,ss_arima111,nn_residual__ss_arima111,0.5,2455.296807488064,5
3,ss_arima111,nn_residual__ss_arima111,0.75,744.3492213050013,5
3,ses,hgb,0.25,56686.882769240845,5
3,ses,hgb,0.5,25322.61310530159,5
3,ses,hgb,0.75,6431.842912791962,5
3,ses,rf,0.25,15029.147191950271,5
3,ses,rf,0.5,6766.175400881072,5
3,ses,rf,0.75,1761.317067468312,5
3,ses,ridge,0.25,28618.874986760602,5
3,ses,ridge,0.5,12816.957728565993,5
3,ses,ridge,0.75,3282.190130216453,5
3,ses,mlp,0.25,12804.965579993339,5
3,ses,mlp,0.5,5763.9962749655115,5
3,ses,mlp,0.75,1500.5318122050612,5
3,holt_damped,hgb,0.25,56659.52857748696,5
3,holt_damped,hgb,0.5,25293.739602907008,5
3,holt_damped,hgb,0.75,6427.284980869908,5
3,holt_damped,rf,0.25,15056.612649096205,5
3,holt_damped,rf,0.5,6810.394763686262,5
3,holt_damped,rf,0.75,1811.5787844460824,5
3,holt_damped,ridge,0.25,28600.68945204487,5
3,holt_damped,ridge,0.5,12800.309102222285,5
3,holt_damped,ridge,0.75,3286.8008553325526,5
3,holt_damped,mlp,0.25,12791.375518032197,5
3,holt_damped,mlp,0.5,5753.474945627933,5
3,holt_damped,mlp,0.75,1509.7380100757575,5
4,ss_ar1,hgb,0.25,41870.8774488725,5
4,ss_ar1,hgb,0.5,55381.84918370913,5
4,ss_ar1,hgb,0.75,75962.07149484735,5
4,ss_ar1,rf,0.25,51527.88493212407,5
4,ss_ar1,rf,0.5,64825.42149372546,5
4,ss_ar1,rf,0.75,82186.64131044647,5
4,ss_ar1,ridge,0.25,71606.36994228134,5
4,ss_ar1,ridge,0.5,73050.96493500708,5
4,ss_ar1,ridge,0.75,83719.35641500904,5
4,ss_ar1,mlp,0.25,44732.6350536783,5
4,ss_ar1,mlp,0.5,56087.01731061131,5
4,ss_ar1,mlp,0.75,75713.3204201476,5
4,ss_arima111,hgb,0.25,20132.715592574994,5
