fuente,semana_inicio,serie,importe_observado,importe_estimado,estado,metodo
compras,2024-01-29,AZUCAR,,4.61296875,estimado_promedio_simple,media_aritmetica_categoria
compras,2024-02-19,AZUCAR,,4.61296875,estimado_promedio_simple,media_aritmetica_categoria
compras,2024-03-18,AZUCAR,,4.61296875,estimado_promedio_simple,media_aritmetica_categoria
compras,2024-04-15,AZUCAR,,4.61296875,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-05-10,BASES,,14.707109375,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-05-24,BASES,,14.707109375,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-06-07,BASES,,14.707109375,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-07-05,BASES,,14.707109375,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-07-12,BASES,,14.707109375,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-08-02,BASES,,14.707109375,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-08-09,BASES,,14.707109375,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-08-16,BASES,,14.707109375,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-08-30,BASES,,14.707109375,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-03-07,BASES,,14.707109375,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-04-11,BASES,,14.707109375,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-04-18,BASES,,14.707109375,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-05-02,BASES,,14.707109375,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-05-16,BASES,,14.707109375,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-05-23,BASES,,14.707109375,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-07-04,BASES,,14.707109375,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-07-11,BASES,,14.707109375,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-10-10,BASES,,14.707109375,estimado_promedio_simple,media_aritmetica_categoria
compras,2023-04-10,BASES,,14.707109375,estimado_promedio_simple,media_aritmetica_categoria
compras,2023-05-08,BASES,,14.707109375,estimado_promedio_simple,media_aritmetica_categoria
compras,2023-06-19,BASES,,14.707109375,estimado_promedio_simple,media_aritmetica_categoria
compras,2023-07-03,BASES,,14.707109375,estimado_promedio_simple,media_aritmetica_categoria
compras,2023-08-28,BASES,,14.707109375,estimado_promedio_simple,media_aritmetica_categoria
compras,2023-10-23,BASES,,14.707109375,estimado_promedio_simple,media_aritmetica_categoria
compras,2024-01-01,BASES,,14.707109375,estimado_promedio_simple,media_aritmetica_categoria
compras,2024-01-29,BASES,,14.707109375,estimado_promedio_simple,media_aritmetica_categoria
compras,2024-02-19,BASES,,14.707109375,estimado_promedio_simple,media_aritmetica_categoria
compras,2024-03-18,BASES,,14.707109375,estimado_promedio_simple,media_aritmetica_categoria
compras,2024-04-15,BASES,,14.707109375,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-05-10,CAPACILLOS,,15.817656249999999,estimado_promedio_simple,media_aritmetica_categoria
