origen,diferencia_monetaria,diferencia_pp
2022-10-24,-9107.292831689738,2.6185223048583377
2022-10-31,-8364.003470669451,2.1275201239352204
2022-11-07,-7233.357492674902,1.6118001052447295
2022-11-14,-2284.2673330109037,1.0802307947480672
2022-11-21,-173.65222666210718,0.5424748855686251
2022-11-28,1086.9760265013736,0.0015157618763868008
2022-12-05,291.302385261591,-0.5322949874424596
2022-12-12,-290.17227709129094,-0.5941916644715259
2022-12-19,-82.5384092930978,-0.10351236527894048
2022-12-26,-473.08337411842103,0.3839469234797207
2023-01-02,8079.799481437425,
2023-01-09,196871.8963118074,0.8604967523207177
2023-01-16,-7793.968769984896,1.810687914108278
2023-01-23,-10965.382396256698,2.22710144024302
2023-01-30,-6464.396566860871,2.56692130759845
2023-02-06,-4890.441712523,2.8670640008118853
