fecha,importe_nominal,descripcion,CLASIFICACION,registro_id,descripcion_normalizada,es_sintetico,motivo,semana_inicio
2025-07-30,5.0,disco dorado pasteloso 16 cm,BASES,2,DISCO DORADO PASTELOSO 16 CM,False,,2025-07-28
2025-07-22,12.9,celofan 9x12 100 pz,EMPAQUE,3,CELOFAN 9X12 100 PZ,False,,2025-07-21
2025-07-22,6.0,disco blanco pasteloso 20 cm,BASES,4,DISCO BLANCO PASTELOSO 20 CM,False,,2025-07-21
2025-07-22,72.0,Crema para batir ambiante 1 lt,AMBIANTE,5,CREMA PARA BATIR AMBIANTE 1 LT,False,,2025-07-21
2025-07-22,246.0,tegral satin red velet cake puratos,HARINA,6,TEGRAL SATIN RED VELET CAKE PURATOS,False,,2025-07-21
2025-07-17,52.0,caja cupcake 12 cav,EMPAQUE,7,CAJA CUPCAKE 12 CAV,False,,2025-07-14
2025-07-17,45.0,queso crema philadelphia,QUESO CREMA,8,QUESO CREMA PHILADELPHIA,False,,2025-07-14
2025-07-17,64.0,tegral satin creme cake vainilla,HARINA,9,TEGRAL SATIN CREME CAKE VAINILLA,False,,2025-07-14
2025-07-16,95.0,au huevo 3,HUEVO,10,AU HUEVO 3,False,,2025-07-14
2025-07-16,91.0,chant dull,CHANTILLY,11,CHANT DULL,False,,2025-07-14
2025-07-14,85.0,rompope coronado,LICORES,12,ROMPOPE CORONADO,False,,2025-07-14
2025-07-14,87.0,fondant sabor nata coco blanco,FONDANT,13,FONDANT SABOR NATA COCO BLANCO,False,,2025-07-14
2025-07-12,91.0,chant dull,CHANTILLY,14,CHANT DULL,False,,2025-07-07
2025-07-10,42.0,cocoa hershey's c 1kg,CHOCOLATE,15,COCOA HERSHEY'S C 1KG,False,,2025-07-07
2025-07-10,64.0,tegral satin creme cake vainilla,HARINA,16,TEGRAL SATIN CREME CAKE VAINILLA,False,,2025-07-07
2025-07-10,29.0,confiter  chocolate semi amargo,CHOCOLATE,17,CONFITER CHOCOLATE SEMI AMARGO,False,,2025-07-07
2025-07-10,90.0,queso crema philadelphia,QUESO CREMA,18,QUESO CREMA PHILADELPHIA,False,,2025-07-07
2025-07-10,72.0,Crema para batir ambiante 1 lt,AMBIANTE,19,CREMA PARA BATIR AMBIANTE 1 LT,False,,2025-07-07
2025-07-10,158.0,Tegral Satin Creme cake chocolate,HARINA,20,TEGRAL SATIN CREME CAKE CHOCOLATE,False,,2025-07-07
2025-07-10,30.0,plumon ma market,DECORACION,21,PLUMON MA MARKET,False,,2025-07-07
2025-07-10,39.0,base dorada pasteloso 30 cm,BASES,22,BASE DORADA PASTELOSO 30 CM,False,,2025-07-07
2025-07-10,45.0,pegamento de fondant,DECORACION,23,PEGAMENTO DE FONDANT,False,,2025-07-07
2025-07-10,56.0,capacillo alegria baby colores10,CAPACILLOS,24,CAPACILLO ALEGRIA BABY COLORES10,False,,2025-07-07
2025-07-10,40.0,perlas y granillo,DECORACION,25,PERLAS Y GRANILLO,False,,2025-07-07
2025-07-03,7.0,disco plateado pasteloso 20 cm,BASES,26,DISCO PLATEADO PASTELOSO 20 CM,False,,2025-06-30
2025-07-03,87.0,fondant sabor nata coco blanco,FONDANT,27,FONDANT SABOR NATA COCO BLANCO,False,,2025-06-30
2025-07-01,182.0,chant dull,CHANTILLY,28,CHANT DULL,False,,2025-06-30
2025-06-30,62.0,base fantasia pasteloso 30 cm,BASES,29,BASE FANTASIA PASTELOSO 30 CM,False,,2025-06-30
2025-06-30,48.0,base 32 doble liston,BASES,30,BASE 32 DOBLE LISTON,False,,2025-06-30
2025-06-30,348.0,fondant sabor nata coco blanco,FONDANT,31,FONDANT SABOR NATA COCO BLANCO,False,,2025-06-30
2025-06-30,246.0,tegral satin red velet cake puratos,HARINA,32,TEGRAL SATIN RED VELET CAKE PURATOS,False,,2025-06-30
2025-06-30,58.0,confiter  chocolate semi amargo,CHOCOLATE,33,CONFITER CHOCOLATE SEMI AMARGO,False,,2025-06-30
2025-06-30,288.0,chips blanco alpezzi c/500 gr,CHOCOLATE,34,CHIPS BLANCO ALPEZZI C/500 GR,False,,2025-06-30
2025-06-30,128.0,chips sabor chocolate semiamargo,CHOCOLATE,35,CHIPS SABOR CHOCOLATE SEMIAMARGO,False,,2025-06-30
2025-06-30,68.0,relleno zarzamora fruitfill purat,RELLENO,36,RELLENO ZARZAMORA FRUITFILL PURAT,False,,2025-06-30
2025-06-30,79.0,Tegral Satin Creme cake chocolate,HARINA,37,TEGRAL SATIN CREME CAKE CHOCOLATE,False,,2025-06-30
2025-06-30,62.0,base fantasia pasteloso 40cm,BASES,38,BASE FANTASIA PASTELOSO 40CM,False,,2025-06-30
2025-06-30,205.0,nutella,CHOCOLATE,39,NUTELLA,False,,2025-06-30
2025-06-30,64.0,tegral satin creme cake vainilla,HARINA,40,TEGRAL SATIN CREME CAKE VAINILLA,False,,2025-06-30
2025-06-30,55.0,base plateada doble c/liston past,BASES,41,BASE PLATEADA DOBLE C/LISTON PAST,False,,2025-06-30
2025-06-29,30.44,fiorentina vela luces pastel gr,VELAS,42,FIORENTINA VELA LUCES PASTEL GR,False,,2025-06-23
2025-06-29,40.72,alegria capacillo rosa love 100pz,CAPACILLOS,43,ALEGRIA CAPACILLO ROSA LOVE 100PZ,False,,2025-06-23
2025-06-29,45.24,alegria capacillo met dorado 50 pz,CAPACILLOS,44,ALEGRIA CAPACILLO MET DORADO 50 PZ,False,,2025-06-23
2025-06-29,21.76,fiorentina vela luces p/pastel,VELAS,45,FIORENTINA VELA LUCES P/PASTEL,False,,2025-06-23
2025-06-25,45.0,vela espiral color primario alegr,VELAS,46,VELA ESPIRAL COLOR PRIMARIO ALEGR,False,,2025-06-23
2025-06-24,50.0,confiter  chocolate semi amargo,CHOCOLATE,47,CONFITER CHOCOLATE SEMI AMARGO,False,,2025-06-23
2025-06-24,16.0,base dorada pasteloso32 cm,BASES,48,BASE DORADA PASTELOSO32 CM,False,,2025-06-23
2025-06-24,36.0,caja cupcake blanca 6 cav,EMPAQUE,49,CAJA CUPCAKE BLANCA 6 CAV,False,,2025-06-23
2025-06-24,47.5,jarabe tres leches dulcerito puratos,JARABE,50,JARABE TRES LECHES DULCERITO PURATOS,False,,2025-06-23
2025-06-24,72.0,crema para batir ambiante puratos,AMBIANTE,51,CREMA PARA BATIR AMBIANTE PURATOS,False,,2025-06-23
2025-06-24,87.0,fondant sabor nata coco blanco,FONDANT,52,FONDANT SABOR NATA COCO BLANCO,False,,2025-06-23
2025-06-24,145.0,BASES  26 cm,BASES,53,BASES 26 CM,False,,2025-06-23
2025-06-24,499.0,CAJAS 26*26,EMPAQUE,54,CAJAS 26*26,False,,2025-06-23
2025-06-24,91.0,chant dull,CHANTILLY,55,CHANT DULL,False,,2025-06-23
2025-06-24,84.0,GALLETA OREO BASE,GALLETAS,56,GALLETA OREO BASE,False,,2025-06-23
2025-06-24,128.0,tegral Satin Creme cake vainilla,HARINA,57,TEGRAL SATIN CREME CAKE VAINILLA,False,,2025-06-23
2025-06-24,52.0,caja cupcake blanca 12 cav,EMPAQUE,58,CAJA CUPCAKE BLANCA 12 CAV,False,,2025-06-23
2025-06-24,21.25,papel encerado,DECORACION,59,PAPEL ENCERADO,False,,2025-06-23
2025-06-10,107.0,gloria man,MANTEQUILLA,60,GLORIA MAN,False,,2025-06-09
2025-06-10,91.0,sjuan hvo,HUEVO,61,SJUAN HVO,False,,2025-06-09
2025-06-09,17.5,harina tri,HARINA,62,HARINA TRI,False,,2025-06-09
2025-06-09,27.5,zulka azucar glass 500 g,AZUCAR,63,ZULKA AZUCAR GLASS 500 G,False,,2025-06-09
2025-06-04,36.0,domo cupcake 12 cav,EMPAQUE,64,DOMO CUPCAKE 12 CAV,False,,2025-06-02
2025-06-04,72.0,Crema para batir ambiante 1 lt,AMBIANTE,65,CREMA PARA BATIR AMBIANTE 1 LT,False,,2025-06-02
2025-06-04,124.0,mantequilla 225gr gloria verde,MANTEQUILLA,66,MANTEQUILLA 225GR GLORIA VERDE,False,,2025-06-02
2025-06-04,40.0,domo cupcake 6 cav,EMPAQUE,67,DOMO CUPCAKE 6 CAV,False,,2025-06-02
2025-06-04,26.0,base dorada pasteloso 30 cm,BASES,68,BASE DORADA PASTELOSO 30 CM,False,,2025-06-02
2025-06-04,10.0,base dorada pasteloso 26 cm,BASES,69,BASE DORADA PASTELOSO 26 CM,False,,2025-06-02
2025-06-04,64.0,Tegral Satin Cremea cake vainilla,HARINA,70,TEGRAL SATIN CREMEA CAKE VAINILLA,False,,2025-06-02
2025-05-24,33.72,diana cereza c/tallo,DULCERIA,71,DIANA CEREZA C/TALLO,False,,2025-05-19
2025-05-20,38.0,caja de acetato para pastel 4-2 c,EMPAQUE,72,CAJA DE ACETATO PARA PASTEL 4-2 C,False,,2025-05-19
2025-05-20,104.0,caja cupcake 12 cav,EMPAQUE,73,CAJA CUPCAKE 12 CAV,False,,2025-05-19
2025-05-20,5.0,base plateada pasteloso 16 cm,BASES,74,BASE PLATEADA PASTELOSO 16 CM,False,,2025-05-19
2025-05-20,64.0,tegral Satin Creme cake vainilla,HARINA,75,TEGRAL SATIN CREME CAKE VAINILLA,False,,2025-05-19
2025-05-19,37.0,OREO DISP,GALLETAS,76,OREO DISP,False,,2025-05-19
2025-05-10,21.25,papel encerado,DECORACION,77,PAPEL ENCERADO,False,,2025-05-05
2025-05-06,74.0,OREO DISP,GALLETAS,78,OREO DISP,False,,2025-05-05
2025-05-06,244.0,huevo blan,HUEVO,79,HUEVO BLAN,False,,2025-05-05
2025-05-06,91.0,chant dull,CHANTILLY,80,CHANT DULL,False,,2025-05-05
2025-05-05,39.99,FLOR ARTIFICIAL TULIPAN,DECORACION,81,FLOR ARTIFICIAL TULIPAN,False,,2025-05-05
2025-05-05,44.99,ASTROMELIA ARTIFICIAL,DECORACION,82,ASTROMELIA ARTIFICIAL,False,,2025-05-05
2025-05-05,49.99,ROSAS ARTIFICIALES,DECORACION,83,ROSAS ARTIFICIALES,False,,2025-05-05
2025-05-05,29.99,ROSAS ARTIFICIALES,DECORACION,84,ROSAS ARTIFICIALES,False,,2025-05-05
2025-05-05,19.99,CINTA FLORAL,CINTA,85,CINTA FLORAL,False,,2025-05-05
2025-05-05,180.0,CAJAS 30*30,EMPAQUE,86,CAJAS 30*30,False,,2025-05-05
2025-05-05,40.0,BASES 32 CM LISTON,BASES,87,BASES 32 CM LISTON,False,,2025-05-05
2025-05-05,108.0,BASE 30 CM LISTON,BASES,88,BASE 30 CM LISTON,False,,2025-05-05
2025-05-05,49.99,MARGARITA ARTIFICIAL,DECORACION,89,MARGARITA ARTIFICIAL,False,,2025-05-05
2025-05-05,49.99,GERBERA,DECORACION,90,GERBERA,False,,2025-05-05
2025-05-05,39.99,FLOR ARTIFICIAL LILY,DECORACION,91,FLOR ARTIFICIAL LILY,False,,2025-05-05
2025-05-02,64.0,tegral satin creme cake vainilla,HARINA,92,TEGRAL SATIN CREME CAKE VAINILLA,False,,2025-04-28
2025-05-01,48.0,domo 1/2 de plancha inix 25 pzs,EMPAQUE,93,DOMO 1/2 DE PLANCHA INIX 25 PZS,False,,2025-04-28
2025-04-14,79.0,Tegral Satin Creme Cake Chocolate,HARINA,94,TEGRAL SATIN CREME CAKE CHOCOLATE,False,,2025-04-14
2024-06-04,72.0,caja cupcake 6 cav,EMPAQUE,95,CAJA CUPCAKE 6 CAV,False,,2024-06-03
2024-06-04,18.0,PASA GRANDE CHILENA,DECORACION,96,PASA GRANDE CHILENA,False,,2024-06-03
2024-06-04,10.44,fenix cuchara pastelera 50 pz,CONSUMIBLES,97,FENIX CUCHARA PASTELERA 50 PZ,False,,2024-06-03
2024-06-04,20.7,"reyma tapa n.10, 50 pz",CONSUMIBLES,98,"REYMA TAPA N.10, 50 PZ",False,,2024-06-03
2024-06-04,30.6,reyma vaso n.10 50 pz,CONSUMIBLES,99,REYMA VASO N.10 50 PZ,False,,2024-06-03
2024-06-04,171.14,nutella frasco 950 g,RELLENO,100,NUTELLA FRASCO 950 G,False,,2024-06-03
2024-06-04,87.0,fondant sabor nata coco blanco,FONDANT,101,FONDANT SABOR NATA COCO BLANCO,False,,2024-06-03
2024-06-04,12.0,base dorada pasteloso 28 cm,BASES,102,BASE DORADA PASTELOSO 28 CM,False,,2024-06-03
2024-06-04,46.0,NUEZ GRANILLO,DECORACION,103,NUEZ GRANILLO,False,,2024-06-03
2024-06-04,64.0,TEGRAL SATIN CREME CAKE CHOCOLATE,HARINA,104,TEGRAL SATIN CREME CAKE CHOCOLATE,False,,2024-06-03
2024-05-05,270.0,Tegral Satin Creme Cake Vainilla,HARINA,105,TEGRAL SATIN CREME CAKE VAINILLA,False,,2024-04-29
2024-05-05,36.0,caja cupcake blanca 6 cav,EMPAQUE,106,CAJA CUPCAKE BLANCA 6 CAV,False,,2024-04-29
2024-05-05,55.0,base fantasia pasteloso 36 cm,BASES,107,BASE FANTASIA PASTELOSO 36 CM,False,,2024-04-29
2024-05-05,28.0,disco dorado pasteloso 32 cm,BASES,108,DISCO DORADO PASTELOSO 32 CM,False,,2024-04-29
2024-05-05,174.0,fondant sabor nata coco blanco,FONDANT,109,FONDANT SABOR NATA COCO BLANCO,False,,2024-04-29
2024-05-05,56.0,capacillo verde puntos alegria,HORNEADO,110,CAPACILLO VERDE PUNTOS ALEGRIA,False,,2024-04-29
2024-05-05,45.0,pegamento para fondant 30 ml,DECORACION,111,PEGAMENTO PARA FONDANT 30 ML,False,,2024-04-29
2024-05-05,132.0,Crema para batir ambiante 1 lt,AMBIANTE,112,CREMA PARA BATIR AMBIANTE 1 LT,False,,2024-04-29
2024-05-05,44.0,confiter semi amargo,CHOCOLATE,113,CONFITER SEMI AMARGO,False,,2024-04-29
2024-05-05,45.0,jarabe tres leches dulcerito puratos,JARABE,114,JARABE TRES LECHES DULCERITO PURATOS,False,,2024-04-29
2024-05-05,126.0,chips blanco alpezi c/500 g,CHOCOLATE,115,CHIPS BLANCO ALPEZI C/500 G,False,,2024-04-29
2024-05-05,32.0,Domo mantecada 12 cavidades,EMPAQUE,116,DOMO MANTECADA 12 CAVIDADES,False,,2024-04-29
2024-05-05,57.0,relleno zarzamora fruitfill purat,RELLENO,117,RELLENO ZARZAMORA FRUITFILL PURAT,False,,2024-04-29
2024-05-05,72.0,tegral satin red velet cake puratos,HARINA,118,TEGRAL SATIN RED VELET CAKE PURATOS,False,,2024-04-29
2024-05-05,40.0,perlas y granillo diamantado ma b,DECORACION,119,PERLAS Y GRANILLO DIAMANTADO MA B,False,,2024-04-29
2024-05-05,48.0,domo 1/2 de plancha inix,EMPAQUE,120,DOMO 1/2 DE PLANCHA INIX,False,,2024-04-29
2024-05-05,25.0,domo 1/4 plancha,EMPAQUE,121,DOMO 1/4 PLANCHA,False,,2024-04-29
2024-05-05,55.0,galleta oreo base,RELLENO,122,GALLETA OREO BASE,False,,2024-04-29
2024-05-05,25.0,granillo chocolate combinado turin,CHOCOLATE,123,GRANILLO CHOCOLATE COMBINADO TURIN,False,,2024-04-29
2024-05-05,107.0,chips sabor chocolate semiamargo,CHOCOLATE,124,CHIPS SABOR CHOCOLATE SEMIAMARGO,False,,2024-04-29
2024-04-28,66.0,Crema para batir ambiante 1 lt,AMBIANTE,125,CREMA PARA BATIR AMBIANTE 1 LT,False,,2024-04-22
2024-04-28,63.0,chips blanco alpezi c/500 g,CHOCOLATE,126,CHIPS BLANCO ALPEZI C/500 G,False,,2024-04-22
2024-04-13,48.0,domo 1/2 de plancha inix,EMPAQUE,127,DOMO 1/2 DE PLANCHA INIX,False,,2024-04-08
2024-04-13,56.0,capacillo party color alegria,HORNEADO,128,CAPACILLO PARTY COLOR ALEGRIA,False,,2024-04-08
2024-04-13,12.0,base dorada pasteloso 30cm,BASES,129,BASE DORADA PASTELOSO 30CM,False,,2024-04-08
2024-04-13,12.0,base dorada pasteloso 28 cm,BASES,130,BASE DORADA PASTELOSO 28 CM,False,,2024-04-08
2024-04-13,64.0,Tegral Satin Creme Cake Chocolate,HARINA,131,TEGRAL SATIN CREME CAKE CHOCOLATE,False,,2024-04-08
2024-04-13,42.8,papel encerado,CONSUMIBLES,132,PAPEL ENCERADO,False,,2024-04-08
2024-04-13,56.0,capacillo blanco mini corazones,HORNEADO,133,CAPACILLO BLANCO MINI CORAZONES,False,,2024-04-08
2024-04-13,45.0,papel pelicula 150m meta film,OTROS,134,PAPEL PELICULA 150M META FILM,False,,2024-04-08
2024-04-13,55.0,royal icing deiman 500g,ROYALICING,135,ROYAL ICING DEIMAN 500G,False,,2024-04-08
2024-04-13,87.0,Foundant sabor nata coco blanco,FONDANT,136,FOUNDANT SABOR NATA COCO BLANCO,False,,2024-04-08
2024-04-04,110.0,confitier chocolate semiamargo tu,CHOCOLATE,137,CONFITIER CHOCOLATE SEMIAMARGO TU,False,,2024-04-01
