archivo,sha256,estado,registros_validos,pendientes,importe_nominal_valido,inicio,fin,observacion
C:\Python\tesis\output\test_dataset_staging\compras_semanales_como_transacciones.csv,425b94a62b8fce0836bf2fd5e2253fa91478550361affcb185c8b771937298e9,auditado,1763,0,97741.00215384614,2021-05-03 00:00:00,2024-04-29 00:00:00,Totales de registros sin incidencias; no equivalen a cobertura verificada.
C:\Python\tesis\input\compras_limpias.xlsx,5531ac855e166812b6e3538e9910a11a664c817232b08ca9fe14e72ce76ec930,auditado,1333,0,92984.91,2022-01-01 00:00:00,2025-07-30 00:00:00,Totales de registros sin incidencias; no equivalen a cobertura verificada.
C:\Python\tesis\input\compras_limpias_corregidas.xlsx,38afb7c8146fb88358f0e306b933db51e8d6e0e69793ad248226d978c23f89ef,auditado,1333,0,92984.91,2022-01-01 00:00:00,2025-07-30 00:00:00,Totales de registros sin incidencias; no equivalen a cobertura verificada.
