"semana_inicio","ACEITE","ADMINISTRACION","AMBIANTE","AZUCAR","BASES","CAPACILLOS","CASETAS","CHANTILLY","CHOCOLATE","CINTA","COLORANTES","CONSUMIBLES","DECORACION","DOMO","DULCERIA","EMPAQUE","FONDANT","GALLETAS","HARINA","HORNEADO","HUEVO","JARABE","LECHE","LECHE EN POLVO","LECHERA","LICORES","MANTECA VEGETAL","MANTEQUILLA","NO DEFINIDO","OTROS","QUESO CREMA","RELLENO","ROYALICING","SABORIZANTE","TRANSFER","VELAS","total","estado_dato"
"2021-05-03","0.0","0.0","0.0","0.0","0.0","0.0","0.0","52.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","48.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","100.0","observado"
"2021-05-10","6.996153846153846","1.6153846153846154","21.58076923076923","4.542000000000001","14.480846153846153","15.574307692307691","5.576923076923077","52.63846153846154","73.33307692307692","0.0","5.4423076923076925","4.817","40.831923076923076","15.384615384615385","5.709923076923077","57.70776923076923","66.13076923076923","7.092538461538461","77.99369230769231","2.15","20.97423076923077","0.34615384615384615","0.0","0.3769230769230769","1.1876923076923078","4.915384615384616","0.16923076923076924","13.811538461538461","9.896846153846155","15.108230769230769","14.314615384615385","48.901","5.223076923076923","0.11538461538461539","7.615384615384615","0.0","622.5541538461539","estimado_promedio_simple"
"2021-05-17","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","35.0","83.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","118.0","observado"
"2021-05-24","6.996153846153846","1.6153846153846154","21.58076923076923","4.542000000000001","14.480846153846153","15.574307692307691","5.576923076923077","52.63846153846154","73.33307692307692","0.0","5.4423076923076925","4.817","40.831923076923076","15.384615384615385","5.709923076923077","57.70776923076923","66.13076923076923","7.092538461538461","77.99369230769231","2.15","20.97423076923077","0.34615384615384615","0.0","0.3769230769230769","1.1876923076923078","4.915384615384616","0.16923076923076924","13.811538461538461","9.896846153846155","15.108230769230769","14.314615384615385","48.901","5.223076923076923","0.11538461538461539","7.615384615384615","0.0","622.5541538461539","estimado_promedio_simple"
"2021-05-31","0.0","0.0","0.0","0.0","0.0","15.0","0.0","0.0","0.0","0.0","0.0","0.0","45.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","60.0","observado"
"2021-06-07","6.996153846153846","1.6153846153846154","21.58076923076923","4.542000000000001","14.480846153846153","15.574307692307691","5.576923076923077","52.63846153846154","73.33307692307692","0.0","5.4423076923076925","4.817","40.831923076923076","15.384615384615385","5.709923076923077","57.70776923076923","66.13076923076923","7.092538461538461","77.99369230769231","2.15","20.97423076923077","0.34615384615384615","0.0","0.3769230769230769","1.1876923076923078","4.915384615384616","0.16923076923076924","13.811538461538461","9.896846153846155","15.108230769230769","14.314615384615385","48.901","5.223076923076923","0.11538461538461539","7.615384615384615","0.0","622.5541538461539","estimado_promedio_simple"
"2021-06-14","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","35.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","35.0","observado"
"2021-06-21","0.0","0.0","0.0","0.0","25.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","83.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","108.0","observado"
"2021-06-28","0.0","0.0","0.0","0.0","0.0","27.5","0.0","46.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","33.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","106.5","observado"
"2021-07-05","6.996153846153846","1.6153846153846154","21.58076923076923","4.542000000000001","14.480846153846153","15.574307692307691","5.576923076923077","52.63846153846154","73.33307692307692","0.0","5.4423076923076925","4.817","40.831923076923076","15.384615384615385","5.709923076923077","57.70776923076923","66.13076923076923","7.092538461538461","77.99369230769231","2.15","20.97423076923077","0.34615384615384615","0.0","0.3769230769230769","1.1876923076923078","4.915384615384616","0.16923076923076924","13.811538461538461","9.896846153846155","15.108230769230769","14.314615384615385","48.901","5.223076923076923","0.11538461538461539","7.615384615384615","0.0","622.5541538461539","estimado_promedio_simple"
