"semana_inicio","importe_nominal","available_at","es_sintetico","estado_dato"
"2023-10-09","3260.0","2023-10-16","False","observado"
"2023-10-16","1515.0","2023-10-23","False","observado"
"2023-10-23","490.0","2023-10-30","False","observado"
"2023-10-30","7620.0","2023-11-06","False","observado"
"2023-11-06","290.0","2023-11-13","False","observado"
"2023-11-13","3800.0","2023-11-20","False","observado"
"2023-11-20","4670.0","2023-11-27","False","observado"
"2023-11-27","2440.0","2023-12-04","False","observado"
"2023-12-04","5755.0","2023-12-11","False","observado"
"2023-12-11","2410.0","2023-12-18","False","observado"
"2023-12-18","1020.0","2023-12-25","False","observado"
"2023-12-25","2500.0","2024-01-01","False","observado"
"2024-01-01","2685.0","2024-01-08","False","observado"
"2024-01-08","2490.0","2024-01-15","False","observado"
"2024-01-15","525.0","2024-01-22","False","observado"
"2024-01-22","1250.0","2024-01-29","False","observado"
"2024-01-29","8325.0","2024-02-05","False","observado"
"2024-02-05","2440.0","2024-02-12","False","observado"
"2024-02-12","3710.0","2024-02-19","False","observado"
"2024-02-19","1360.0","2024-02-26","False","observado"
"2024-02-26","9060.0","2024-03-04","False","observado"
"2024-03-04","2170.0","2024-03-11","False","observado"
"2024-03-11","810.0","2024-03-18","False","observado"
"2024-03-18","880.0","2024-03-25","False","observado"
"2024-03-25","4170.0","2024-04-01","False","observado"
"2024-04-01","940.0","2024-04-08","False","observado"
"2024-04-08","5620.0","2024-04-15","False","observado"
"2024-04-15","2250.0","2024-04-22","False","observado"
"2024-04-22","650.0","2024-04-29","False","observado"
"2024-04-29","14105.0","2024-05-06","False","observado"
