horizonte,modelo,n,rmse,mae,mase,n_mase
1,estacional_52s,13,68.47528189623779,64.82461538461538,0.8220404768251772,13
1,ets,13,135.51989246417304,87.7293900390512,1.1494534946227741,13
1,hibrido,13,34.78372262434775,23.043386313622513,0.3016407801289778,13
1,promedio_4s,13,145.36316910487176,102.06173076923079,1.3332564698665186,13
1,ridge_0.1,13,9.86146385860026,7.406444322354441,0.09327664863794546,13
1,ultimo_valor,13,173.6757967062148,81.17461538461538,1.1028064060210965,13
2,arima,13,133.86176218553317,90.92070090827079,1.1623683697099747,13
2,estacional_52s,13,68.20697319415142,64.59769230769228,0.824487603844312,13
2,hibrido,13,35.61118158093795,25.870967757691172,0.3295038112842299,13
2,promedio_4s,13,154.17757639482068,116.29673076923078,1.4880794786006115,13
2,ridge_0.1,13,10.659422900452645,8.994904127846759,0.11504593890657253,13
2,ultimo_valor,13,177.65620015593646,95.15615384615386,1.2515376191150724,13
3,arima,13,134.19512347543358,91.69342977237717,1.1762532050962486,13
3,estacional_52s,13,67.41191209502732,63.76769230769229,0.8166983825218198,13
3,hibrido,13,86.72196774242958,66.27237461469774,0.8433570115658124,13
3,promedio_4s,13,160.86847085997593,127.76134615384616,1.638144701993832,13
3,ridge_0.1,13,77.52911280218808,61.83482271636948,0.7875303130177858,13
3,ultimo_valor,13,189.14824056197907,113.27230769230769,1.4852411453538006,13
4,arima,13,134.26261528859348,92.35365352538787,1.1844591144719474,13
4,estacional_52s,13,68.91725222211164,65.00538461538461,0.8310730795280242,13
4,hibrido,13,100.96632365841445,63.5393602201486,0.808494732497778,13
4,promedio_4s,13,164.18852271064455,133.64326923076922,1.7122341526598452,13
4,ridge_0.1,13,97.35337133049791,61.39403242131204,0.7830301742653935,13
4,ultimo_valor,13,190.6908522472151,126.2653846153846,1.6487960110820237,13
