semana_inicio,importe_nominal,available_at,es_sintetico,estado_dato
2019-06-17,,,,ausente_fuera_de_alcance
2019-06-24,,,,ausente_fuera_de_alcance
2019-07-01,,,,ausente_fuera_de_alcance
2019-07-08,,,,ausente_fuera_de_alcance
2019-07-15,,,,ausente_fuera_de_alcance
2019-07-22,,,,ausente_fuera_de_alcance
2019-07-29,,,,ausente_fuera_de_alcance
2019-08-05,,,,ausente_fuera_de_alcance
2019-08-12,,,,ausente_fuera_de_alcance
2019-08-19,,,,ausente_fuera_de_alcance
2019-08-26,,,,ausente_fuera_de_alcance
2019-09-02,,,,ausente_fuera_de_alcance
2019-09-09,,,,ausente_fuera_de_alcance
2019-09-16,,,,ausente_fuera_de_alcance
2019-09-23,,,,ausente_fuera_de_alcance
2019-09-30,,,,ausente_fuera_de_alcance
2019-10-07,,,,ausente_fuera_de_alcance
2019-10-14,,,,ausente_fuera_de_alcance
2019-10-21,,,,ausente_fuera_de_alcance
2019-10-28,,,,ausente_fuera_de_alcance
2019-11-04,,,,ausente_fuera_de_alcance
2019-11-11,,,,ausente_fuera_de_alcance
2019-11-18,,,,ausente_fuera_de_alcance
2019-11-25,,,,ausente_fuera_de_alcance
2019-12-02,,,,ausente_fuera_de_alcance
2019-12-09,,,,ausente_fuera_de_alcance
2019-12-16,,,,ausente_fuera_de_alcance
2019-12-23,,,,ausente_fuera_de_alcance
2019-12-30,,,,ausente_fuera_de_alcance
2020-01-06,,,,ausente_fuera_de_alcance
2020-01-13,,,,ausente_fuera_de_alcance
2020-01-20,,,,ausente_fuera_de_alcance
2020-01-27,,,,ausente_fuera_de_alcance
2020-02-03,,,,ausente_fuera_de_alcance
2020-02-10,,,,ausente_fuera_de_alcance
2020-02-17,,,,ausente_fuera_de_alcance
2020-02-24,,,,ausente_fuera_de_alcance
2020-03-02,,,,ausente_fuera_de_alcance
2020-03-09,,,,ausente_fuera_de_alcance
2020-03-16,,,,ausente_fuera_de_alcance
2020-03-23,,,,ausente_fuera_de_alcance
2020-03-30,,,,ausente_fuera_de_alcance
2020-04-06,,,,ausente_fuera_de_alcance
2020-04-13,,,,ausente_fuera_de_alcance
2020-04-20,,,,ausente_fuera_de_alcance
2020-04-27,,,,ausente_fuera_de_alcance
2020-05-04,,,,ausente_fuera_de_alcance
2020-05-11,,,,ausente_fuera_de_alcance
2020-05-18,,,,ausente_fuera_de_alcance
2020-05-25,,,,ausente_fuera_de_alcance
2020-06-01,,,,ausente_fuera_de_alcance
2020-06-08,,,,ausente_fuera_de_alcance
2020-06-15,,,,ausente_fuera_de_alcance
2020-06-22,,,,ausente_fuera_de_alcance
2020-06-29,,,,ausente_fuera_de_alcance
2020-07-06,,,,ausente_fuera_de_alcance
2020-07-13,,,,ausente_fuera_de_alcance
2020-07-20,,,,ausente_fuera_de_alcance
2020-07-27,,,,ausente_fuera_de_alcance
2020-08-03,,,,ausente_fuera_de_alcance
2020-08-10,,,,ausente_fuera_de_alcance
2020-08-17,,,,ausente_fuera_de_alcance
2020-08-24,,,,ausente_fuera_de_alcance
2020-08-31,,,,ausente_fuera_de_alcance
2020-09-07,,,,ausente_fuera_de_alcance
2020-09-14,,,,ausente_fuera_de_alcance
2020-09-21,,,,ausente_fuera_de_alcance
2020-09-28,,,,ausente_fuera_de_alcance
2020-10-05,,,,ausente_fuera_de_alcance
2020-10-12,,,,ausente_fuera_de_alcance
2020-10-19,,,,ausente_fuera_de_alcance
2020-10-26,,,,ausente_fuera_de_alcance
2020-11-02,,,,ausente_fuera_de_alcance
2020-11-09,,,,ausente_fuera_de_alcance
2020-11-16,210.0,2020-11-23,False,observado
2020-11-23,280.0,2020-11-30,False,observado
2020-11-30,180.0,2020-12-07,False,observado
2020-12-07,312.0,2020-12-14,False,observado
2020-12-14,1200.0,2020-12-21,False,observado
2020-12-21,,2020-12-28,False,ausente_fuera_de_alcance
2020-12-28,,2021-01-04,False,ausente_fuera_de_alcance
2021-01-04,,2021-01-11,False,ausente_fuera_de_alcance
2021-01-11,780.0,2021-01-18,False,observado
2021-01-18,,2021-01-25,False,ausente_fuera_de_alcance
2021-01-25,,2021-02-01,False,ausente_fuera_de_alcance
2021-02-01,230.0,2021-02-08,False,observado
2021-02-08,320.0,2021-02-15,False,observado
2021-02-15,640.0,2021-02-22,False,observado
2021-02-22,570.0,2021-03-01,False,observado
2021-03-01,200.0,2021-03-08,False,observado
2021-03-08,350.0,2021-03-15,False,observado
2021-03-15,,2021-03-22,False,ausente_fuera_de_alcance
2021-03-22,,2021-03-29,False,ausente_fuera_de_alcance
2021-03-29,450.0,2021-04-05,False,observado
2021-04-05,260.0,2021-04-12,False,observado
2021-04-12,890.0,2021-04-19,False,observado
2021-04-19,520.0,2021-04-26,False,observado
2021-04-26,,2021-05-03,False,ausente_fuera_de_alcance
2021-05-03,690.0,2021-05-10,False,observado
2021-05-10,230.0,2021-05-17,False,observado
2021-05-17,440.0,2021-05-24,False,observado
2021-05-24,690.0,2021-05-31,False,observado
2021-05-31,140.0,2021-06-07,False,observado
2021-06-07,230.0,2021-06-14,False,observado
2021-06-14,1160.0,2021-06-21,False,observado
2021-06-21,1190.0,2021-06-28,False,observado
2021-06-28,700.0,2021-07-05,False,observado
2021-07-05,230.0,2021-07-12,False,observado
2021-07-12,3050.0,2021-07-19,False,observado
2021-07-19,230.0,2021-07-26,False,observado
2021-07-26,1050.0,2021-08-02,False,observado
2021-08-02,2023.8285714285714,2026-09-22,False,estimado_promedio_simple
2021-08-09,2023.8285714285714,2026-09-22,False,estimado_promedio_simple
2021-08-16,800.0,2021-08-23,False,observado
2021-08-23,985.0,2021-08-30,False,observado
2021-08-30,2023.8285714285714,2026-09-22,False,estimado_promedio_simple
2021-09-06,2805.0,2021-09-13,False,observado
2021-09-13,1350.0,2021-09-20,False,observado
2021-09-20,930.0,2021-09-27,False,observado
2021-09-27,1800.0,2021-10-04,False,observado
2021-10-04,530.0,2021-10-11,False,observado
2021-10-11,410.0,2021-10-18,False,observado
2021-10-18,630.0,2021-10-25,False,observado
2021-10-25,890.0,2021-11-01,False,observado
2021-11-01,340.0,2021-11-08,False,observado
2021-11-08,1535.0,2021-11-15,False,observado
2021-11-15,2740.0,2021-11-22,False,observado
2021-11-22,1710.0,2021-11-29,False,observado
2021-11-29,3320.0,2021-12-06,False,observado
2021-12-06,3300.0,2021-12-13,False,observado
2021-12-13,420.0,2021-12-20,False,observado
2021-12-20,710.0,2021-12-27,False,observado
2021-12-27,1690.0,2022-01-03,False,observado
2022-01-03,2790.0,2022-01-10,False,observado
2022-01-10,640.0,2022-01-17,False,observado
2022-01-17,510.0,2022-01-24,False,observado
2022-01-24,700.0,2022-01-31,False,observado
2022-01-31,460.0,2022-02-07,False,observado
2022-02-07,4300.0,2022-02-14,False,observado
2022-02-14,260.0,2022-02-21,False,observado
2022-02-21,370.0,2022-02-28,False,observado
2022-02-28,890.0,2022-03-07,False,observado
2022-03-07,2023.8285714285714,2026-09-22,False,estimado_promedio_simple
2022-03-14,1010.0,2022-03-21,False,observado
2022-03-21,2023.8285714285714,2026-09-22,False,estimado_promedio_simple
2022-03-28,840.0,2022-04-04,False,observado
2022-04-04,500.0,2022-04-11,False,observado
2022-04-11,2023.8285714285714,2026-09-22,False,estimado_promedio_simple
2022-04-18,1330.0,2022-04-25,False,observado
2022-04-25,1170.0,2022-05-02,False,observado
2022-05-02,860.0,2022-05-09,False,observado
2022-05-09,3685.0,2022-05-16,False,observado
2022-05-16,500.0,2022-05-23,False,observado
2022-05-23,2023.8285714285714,2026-09-22,False,estimado_promedio_simple
2022-05-30,2090.0,2022-06-06,False,observado
2022-06-06,340.0,2022-06-13,False,observado
2022-06-13,1660.0,2022-06-20,False,observado
2022-06-20,430.0,2022-06-27,False,observado
2022-06-27,1330.0,2022-07-04,False,observado
2022-07-04,2023.8285714285714,2026-09-22,False,estimado_promedio_simple
2022-07-11,1500.0,2022-07-18,False,observado
2022-07-18,1690.0,2022-07-25,False,observado
2022-07-25,1800.0,2022-08-01,False,observado
2022-08-01,2023.8285714285714,2026-09-22,False,estimado_promedio_simple
2022-08-08,2023.8285714285714,2026-09-22,False,estimado_promedio_simple
2022-08-15,560.0,2022-08-22,False,observado
2022-08-22,310.0,2022-08-29,False,observado
2022-08-29,1080.0,2022-09-05,False,observado
2022-09-05,1110.0,2022-09-12,False,observado
