variable,compras_total_mxn,ventas_total_mxn,es_fecha_pago_semana,es_festivo_semana,semana_sin,semana_cos
compras_total_mxn,1.0,0.3818258841109489,-0.005033866398848926,0.1026480131355555,-0.007935043908148675,0.10801136240738782
ventas_total_mxn,0.3818258841109489,1.0,0.14790686458229352,0.07564894768518038,-0.13178964684525113,0.05075933827431125
es_fecha_pago_semana,-0.005033866398848926,0.14790686458229352,1.0,0.09473755604983852,0.01934650732166274,-0.00010034665468992817
es_festivo_semana,0.1026480131355555,0.07564894768518038,0.09473755604983852,1.0,0.11956396295957906,0.21643393777869369
semana_sin,-0.007935043908148675,-0.13178964684525113,0.01934650732166274,0.11956396295957906,1.0,0.00258698585379916
semana_cos,0.10801136240738782,0.05075933827431125,-0.00010034665468992817,0.21643393777869369,0.00258698585379916,1.0
