origen,diferencia_monetaria,diferencia_pp
2022-10-24,-9107.29285068987,2.6185223048583377
2022-10-31,-8364.003491432886,2.1275201239352204
2022-11-07,-7233.357460573713,1.6118001052447295
2022-11-14,-2284.267323216613,1.0802307947480672
2022-11-21,-173.6522923020883,0.5424748855686251
2022-11-28,1086.9760251501239,0.0015157618763868008
2022-12-05,291.3023841648866,-0.5322949874424596
2022-12-12,-290.17226574050727,-0.5941916644715259
2022-12-19,-82.53839807714829,-0.10351236527894048
2022-12-26,-473.0833622253899,0.3839469234797207
2023-01-02,8079.799481437425,
2023-01-09,196871.89605988853,0.8604967523207177
2023-01-16,-7793.968769351417,1.810687914108278
2023-01-23,-10965.383350816724,2.22710144024302
2023-01-30,-6464.396539130428,2.56692130759845
2023-02-06,-4890.441725530328,2.8670640008118853
