variable,horizonte,origen,objetivo,real,rf,hibrido
base,4,2025-03-24,2025-04-14,79.0,309.72082547619,306.76350616912777
calendario_comercial,4,2025-03-24,2025-04-14,79.0,309.29105880952335,306.6560645024611
cantidad_pedidos,4,2025-03-24,2025-04-14,79.0,311.50366547619,307.2092161691278
temperatura_rezagada,4,2025-03-24,2025-04-14,79.0,308.4122874999996,306.4363716750802
base,4,2025-04-14,2025-05-05,1083.17,313.58014999999943,351.91617848657586
calendario_comercial,4,2025-04-14,2025-05-05,1083.17,306.5721999999995,350.16419098657593
cantidad_pedidos,4,2025-04-14,2025-05-05,1083.17,321.72029999999944,353.9512159865759
temperatura_rezagada,4,2025-04-14,2025-05-05,1083.17,538.2420382539686,408.08165055006816
base,4,2025-05-05,2025-05-26,326.86,163.95058738095227,115.73543687861616
calendario_comercial,4,2025-05-05,2025-05-26,326.86,164.9702959523808,115.99036402147328
cantidad_pedidos,4,2025-05-05,2025-05-26,326.86,165.00028738095224,115.99786187861613
temperatura_rezagada,4,2025-05-05,2025-05-26,326.86,210.9875859523809,127.49468652147331
base,4,2025-05-26,2025-06-16,877.4549999999999,462.1265047619048,326.838583023738
calendario_comercial,4,2025-05-26,2025-06-16,877.4549999999999,453.013615,324.56036058326185
cantidad_pedidos,4,2025-05-26,2025-06-16,877.4549999999999,452.62757000000005,324.46384933326186
temperatura_rezagada,4,2025-05-26,2025-06-16,877.4549999999999,591.8391423611113,359.26674242353965
base,4,2025-06-16,2025-07-07,756.0,428.31803909690234,343.66005907387836
calendario_comercial,4,2025-06-16,2025-07-07,756.0,423.69236131912453,342.5036396294339
cantidad_pedidos,4,2025-06-16,2025-07-07,756.0,424.4773346524578,342.6998829627672
temperatura_rezagada,4,2025-06-16,2025-07-07,756.0,392.3539473310292,334.66903613241004
base,4,2025-07-07,2025-07-28,5.0,827.2420507539682,1747.9373830830318
calendario_comercial,4,2025-07-07,2025-07-28,5.0,835.2664447709817,1749.943481587285
cantidad_pedidos,4,2025-07-07,2025-07-28,5.0,835.9355279179155,1750.1107523740186
temperatura_rezagada,4,2025-07-07,2025-07-28,5.0,755.5345018632756,1730.0104958603588
