descripcion_normalizada,insumo_id,aprobado,decision,evidencia
ACEITE,,False,revisar,
ADMINISTRACION,,False,revisar,
AMBIANTE,,False,revisar,
AZUCAR,,False,revisar,
BASES,,False,revisar,
CAPACILLOS,,False,revisar,
CASETAS,,False,revisar,
CHANTILLY,,False,revisar,
CHOCOLATE,,False,revisar,
COLORANTES,,False,revisar,
CONSUMIBLES,,False,revisar,
DECORACION,,False,revisar,
DOMO,,False,revisar,
DULCERIA,,False,revisar,
EMPAQUE,,False,revisar,
FONDANT,,False,revisar,
GALLETAS,,False,revisar,
HARINA,,False,revisar,
HORNEADO,,False,revisar,
HUEVO,,False,revisar,
JARABE,,False,revisar,
LECHE EN POLVO,,False,revisar,
LECHERA,,False,revisar,
LICORES,,False,revisar,
MANTECA VEGETAL,,False,revisar,
MANTEQUILLA,,False,revisar,
NO DEFINIDO,,False,revisar,
OTROS,,False,revisar,
QUESO CREMA,,False,revisar,
RELLENO,,False,revisar,
ROYALICING,,False,revisar,
SABORIZANTE,,False,revisar,
TRANSFER,,False,revisar,
