rezago,acf,pacf,limite_aprox_95,acf_fuera_limite,pacf_fuera_limite
0,1.0,1.0,0.18603496716748982,False,False
1,0.2169675636940876,0.21696756369408765,0.18603496716748982,True,True
2,0.21029411444128998,0.17128229155107308,0.18603496716748982,True,False
3,0.18954994869659283,0.12386945127167102,0.18603496716748982,True,False
4,0.11966169723477717,0.034464822120602215,0.18603496716748982,False,False
5,0.32266389276052776,0.26882555677548153,0.18603496716748982,True,True
6,0.13079108600695732,-0.0016379646930005723,0.18603496716748982,False,False
7,0.25102921279793994,0.15565344405262788,0.18603496716748982,True,False
8,0.21524140892828825,0.08416907164655972,0.18603496716748982,True,False
9,0.1721932366875874,0.0628744132312859,0.18603496716748982,False,False
10,0.2935592033290787,0.1420399736510372,0.18603496716748982,True,False
11,0.0842453363227405,-0.06029550546055873,0.18603496716748982,False,False
12,0.12224604904767739,-0.044805267879884696,0.18603496716748982,False,False
13,0.1753453509766222,0.06077628693627176,0.18603496716748982,False,False
14,0.24752119413293522,0.15395980926342237,0.18603496716748982,True,False
15,0.15107058682686633,-0.07896120366841503,0.18603496716748982,False,False
16,0.04267157467197702,-0.08470528818580864,0.18603496716748982,False,False
17,0.16371960130312957,0.057155498730795284,0.18603496716748982,False,False
18,0.13728766132629164,0.028656181224202278,0.18603496716748982,False,False
19,0.01438124019169245,-0.17900185455247225,0.18603496716748982,False,False
20,0.018006216594246737,-0.10609445596857409,0.18603496716748982,False,False
21,0.02989817993223996,-0.003857046801698304,0.18603496716748982,False,False
22,-0.031160481173703947,-0.15179422096158474,0.18603496716748982,False,False
23,0.1621269089867554,0.12574610420372384,0.18603496716748982,False,False
24,0.08818469939357282,0.021742450944640883,0.18603496716748982,False,False
25,-0.0364534058193549,-0.1066650659665556,0.18603496716748982,False,False
26,0.00921125911322066,0.016219123491149345,0.18603496716748982,False,False
27,0.008078544484873489,0.04365851405649838,0.18603496716748982,False,False
28,0.09013300288166821,0.00967897482958971,0.18603496716748982,False,False
29,-0.001822449235024647,0.03881577963492719,0.18603496716748982,False,False
30,0.04079866776509069,0.11360269019922035,0.18603496716748982,False,False
31,0.1632544434898228,0.1268238285497984,0.18603496716748982,False,False
32,-0.019438964250763142,-0.05040377267640216,0.18603496716748982,False,False
33,0.0305431271548873,0.01547450390756065,0.18603496716748982,False,False
34,-0.01113770989254751,0.027622079206084206,0.18603496716748982,False,False
35,0.06949678139559641,0.11118900785455724,0.18603496716748982,False,False
36,0.029581453619641505,-0.03517120093776637,0.18603496716748982,False,False
37,-0.03168305235937172,-0.10966489780160395,0.18603496716748982,False,False
38,0.0635274027155101,-0.018626454661695203,0.18603496716748982,False,False
39,-0.018402500159412725,0.04900018287207367,0.18603496716748982,False,False
40,-0.03552189224754488,-0.16644167335166515,0.18603496716748982,False,False
41,0.04770160236679521,-0.09623937807122358,0.18603496716748982,False,False
42,-0.07439266106519221,-0.058422583994754654,0.18603496716748982,False,False
43,0.05788563203205102,0.09785129247668355,0.18603496716748982,False,False
44,-0.06504168536223164,-0.20191233981000103,0.18603496716748982,False,True
45,-0.0293999002118841,-0.11141087113713524,0.18603496716748982,False,False
46,-0.009649923481910334,0.02829267013240626,0.18603496716748982,False,False
47,-0.04482209409340825,0.0567431448382161,0.18603496716748982,False,False
48,0.08044558898474662,0.04155329936609531,0.18603496716748982,False,False
49,0.0015197992429341306,0.045484500160663605,0.18603496716748982,False,False
50,-0.03488556058526195,0.0800526643714605,0.18603496716748982,False,False
51,-0.06020106074208343,0.028165573305967834,0.18603496716748982,False,False
52,-0.0933373336771906,-0.014790305743793636,0.18603496716748982,False,False
