semana_inicio,compras_importe_semanal,tendencia_stl,estacional_stl,residuo_stl
2022-01-03,93.62376237623761,-38.40971206518442,142.2733820318411,-10.239907590419065
2022-01-10,546.6958981612446,-29.482889018182295,585.9679163573256,-9.78912917789874
2022-01-17,508.2934370579914,-20.558896977326132,538.1925598458907,-9.340225810573198
2022-01-24,107.5558698727015,-11.637832535937587,128.08689034963692,-8.893187940997823
2022-01-31,311.8986263736264,-2.7197961743103054,323.06641137174466,-8.44798882380793
2022-02-07,479.8357142857142,6.195107590802824,481.6452016989507,-8.004595004039349
2022-02-14,67.65109890109889,15.106770056083512,60.10730269718846,-7.56297385217308
2022-02-21,166.1510989010989,24.015078182259877,149.25911918454804,-7.1230984657090275
2022-02-28,337.4120805369127,32.919917646783276,311.17711152806146,-6.684948637932038
2022-03-07,0.0,41.821185530761234,-35.572679406925346,-6.248506123835888
2022-03-14,231.9046979865771,50.71879292644552,186.9996589990054,-5.813753938873809
2022-03-21,279.4491275167785,59.61266421333012,225.21714061912468,-5.380677315676294
2022-03-28,231.32109375,68.50273637979485,167.76762233360432,-4.949264963399187
2022-04-04,279.5963541666667,77.38895838481933,206.72690645538563,-4.519510673538278
2022-04-11,0.0,86.27129055507922,-82.17987521972445,-4.0914153353547675
2022-04-18,0.0,95.14970401345523,-91.48471455214374,-3.6649894613114924
2022-04-25,685.225631127451,104.02418013571092,584.4417073947593,-3.2402564030191883
2022-05-02,0.0,112.8947100327117,-110.07745341405918,-2.8172566186525216
2022-05-09,430.0522875816993,121.76129405624359,310.6870472905225,-2.3960537650667817
2022-05-16,0.0,130.6239413270858,-128.64719700172134,-1.97674432536445
2022-05-23,0.0,139.482669284672,-137.92319471181645,-1.5594745728555495
2022-05-30,451.1521902377971,148.33750325832108,303.95916010586456,-1.1444731263885615
2022-06-06,65.09136420525657,157.18847606078643,-91.364996011494,-0.7321158440358602
2022-06-13,60.16020025031289,166.03562760570324,-105.5523763159855,-0.32305103940484514
2022-06-20,22.68335419274093,174.87900455162526,-152.2772482727848,0.08159791390045257
2022-06-27,466.6052479710067,183.71865997679942,282.4064869019859,0.4801010922213891
2022-07-04,0.0,192.55465309090744,-193.42560641679577,0.8709533258883368
2022-07-11,0.0,201.3870489923585,-202.6422303170589,1.255181324700402
2022-07-18,43.50920245398773,210.21591848052105,-168.3438894695556,1.6371734430222773
2022-07-25,507.8490797546012,219.0413379294202,286.7907495606155,2.016992264565488
2022-08-01,204.2006896551724,227.86338922699662,-26.056835476839485,2.3941359050152755
2022-08-08,36.22988505747126,236.6821597909917,-203.21978730161825,2.7675125680978
2022-08-15,115.4827586206897,245.49774267737047,-133.1504425949547,3.1354585382739515
2022-08-22,92.61264367816094,254.31023680079957,-165.1934072249226,3.4958141022839584
2022-08-29,426.5163218390806,263.11974728978026,159.55049290319346,3.8460816461068816
2022-09-05,116.3885057471265,271.9263860002774,-159.72151949497925,4.1836392418283594
2022-09-12,175.2620689655172,280.7302722084662,-109.97415948834077,4.505956245391758
2022-09-19,363.2045977011494,289.53153349079497,68.86231189826206,4.810752312092347
2022-09-26,439.178042013476,298.3303067692609,135.75163651232378,5.0960987318912885
2022-10-03,32.79429250891796,307.12673943622843,-279.6929203376716,5.360473410361124
2022-10-10,0.0,315.92099034893533,-321.52376970833393,5.602779359398596
2022-10-17,275.2378121284185,324.7132302511325,-55.297753260362285,5.822335137648338
2022-10-24,175.4494649227111,333.50364075549186,-164.0730200976584,6.0188442648776
2022-10-31,355.5999856702948,342.2924102659328,7.115226228903729,6.192349175458276
2022-11-07,380.6141025641026,351.07972390557103,23.191204971159777,6.343173687371802
2022-11-14,67.93974358974359,359.8657422909179,-298.3978548135096,6.471856112335274
2022-11-21,119.4628205128205,368.6505603713843,-255.76681270176775,6.57907284320396
2022-11-28,651.5230146239097,377.4341320490499,267.42333320682076,6.6655493680390805
2022-12-05,345.1278772378516,386.2161390162595,-47.82021406759726,6.731952289189337
2022-12-12,278.1176470588235,394.9957758125927,-123.65688198880363,6.778753235034401
2022-12-19,741.8989769820972,403.7714277448068,331.32149145061436,6.806057786676092
2022-12-26,849.229807197985,412.37721107231783,430.0911998691356,6.761396256531555
2023-01-02,1890.502654867256,420.9695304928438,1462.836524009932,6.696600364480332
2023-01-09,185.7926675094816,429.5478068431885,-250.36717440656943,6.612035072862568
2023-01-16,578.9907206068267,438.111396902694,134.37139236572713,6.507931338405513
2023-01-23,502.2877370417194,446.65970841446574,49.243575934572384,6.384452692681293
2023-01-30,356.7200128744969,455.1924246901267,-104.71421530897223,6.241803493342445
2023-02-06,508.901154855643,463.70957477214455,39.111254667603866,6.080325415894549
2023-02-13,320.0603674540682,472.2115394112081,-158.0517534920913,5.900581534951414
