semana_inicio,compras_importe_semanal,semana_anio,mes,media_movil_4s,mediana_movil_13s,media_movil_26s,es_bloque_evaluacion
2022-01-03,93.62376237623761,1,1,93.62376237623761,93.62376237623761,93.62376237623761,False
2022-01-10,546.6958981612446,2,1,320.1598302687411,320.1598302687411,320.1598302687411,False
2022-01-17,508.2934370579914,3,1,382.87103253182454,508.2934370579914,382.87103253182454,False
2022-01-24,107.5558698727015,4,1,314.0422418670438,307.92465346534647,314.0422418670438,False
2022-01-31,311.8986263736264,5,1,368.610957866391,311.8986263736264,313.61351876836034,False
2022-02-07,479.8357142857142,6,2,351.8959118975084,395.86717032967033,341.31721802125264,False
2022-02-14,67.65109890109889,7,2,241.73532735828528,311.8986263736264,302.22205814694496,False
2022-02-21,166.1510989010989,8,2,256.3841346153846,239.02486263736267,285.2131882412142,False
2022-02-28,337.4120805369127,9,2,262.76249815620616,311.8986263736264,291.01306516295847,False
2022-03-07,0.0,10,3,142.80356958477762,239.02486263736267,261.91175864666263,False
2022-03-14,231.9046979865771,11,3,183.8669693561472,231.9046979865771,259.1838440412003,False
2022-03-21,279.4491275167785,12,3,212.1914765100671,255.6769127516778,260.87261766416515,False
2022-03-28,231.32109375,13,3,185.66872981333893,231.9046979865771,258.59942351692166,False
2022-04-04,279.5963541666667,14,4,255.5678183550056,279.4491275167785,260.0992042776178,False
2022-04-11,0.0,15,4,197.59164385836135,231.9046979865771,242.7592573257766,False
2022-04-18,0.0,16,4,127.7293619791667,231.32109375,227.58680374291555,False
2022-04-25,685.225631127451,17,4,241.20549632352947,231.9046979865771,254.50673476553524,False
2022-05-02,0.0,18,5,171.30640778186276,231.32109375,240.3674717230055,False
2022-05-09,430.0522875816993,19,5,278.81947967728763,231.32109375,250.3508830839894,False
2022-05-16,0.0,20,5,278.81947967728763,231.32109375,237.83333892978993,False
2022-05-23,0.0,21,5,107.51307189542483,231.32109375,226.50794183789517,False
2022-05-30,451.1521902377971,22,5,220.30111945487408,231.32109375,236.71904403789074,False
2022-06-06,65.09136420525657,23,6,129.0608886107634,231.32109375,229.25697100168924,False
2022-06-13,60.16020025031289,24,6,144.10093867334163,65.09136420525657,222.21127222038191,False
2022-06-20,22.68335419274093,25,6,149.77177722152686,60.16020025031289,214.23015549927626,False
2022-06-27,466.6052479710067,26,6,153.63504165482925,60.16020025031289,223.93688982511202,False
2022-07-04,0.0,27,7,137.36220060351513,22.68335419274093,220.33597588756444,False
2022-07-11,0.0,28,7,122.3221505409369,22.68335419274093,199.30921057367044,False
2022-07-18,43.50920245398773,29,7,127.5286126062486,43.50920245398773,181.4328938581318,False
2022-07-25,507.8490797546012,30,7,137.83957055214722,43.50920245398773,196.8287865458972,False
2022-08-01,204.2006896551724,31,8,188.88974296594031,60.16020025031289,192.68655821057203,False
2022-08-08,36.22988505747126,32,8,197.94721423030813,43.50920245398773,175.6247955479473,False
2022-08-15,115.4827586206897,33,8,215.9406032719836,60.16020025031289,177.4644747679316,False
2022-08-22,92.61264367816094,34,8,112.13149425287358,65.09136420525657,174.6360726439724,False
2022-08-29,426.5163218390806,35,8,167.71040229885062,65.09136420525657,178.06315884790195,False
2022-09-05,116.3885057471265,36,9,187.75005747126443,92.61264367816094,182.53963983817602,False
2022-09-12,175.2620689655172,37,9,202.6948850574713,115.4827586206897,180.36107718351988,False
2022-09-19,363.2045977011494,38,9,270.3428735632184,116.3885057471265,183.5824414213803,False
2022-09-26,439.178042013476,39,9,273.50830360681726,116.3885057471265,191.576939431514,False
2022-10-03,32.79429250891796,40,10,252.60975029726512,116.3885057471265,182.0845524446775,False
2022-10-10,0.0,41,10,208.79423305588583,116.3885057471265,182.0845524446775,False
2022-10-17,275.2378121284185,42,10,186.80253666270312,175.2620689655172,192.67062214192435,False
2022-10-24,175.4494649227111,43,10,120.87039239001189,175.2620689655172,173.06384651866514,False
2022-10-31,355.5999856702948,44,10,201.5718156803561,175.2620689655172,186.74076904444576,False
2022-11-07,380.6141025641026,45,11,296.72534132138173,175.4494649227111,184.83930038992276,False
2022-11-14,67.93974358974359,46,11,244.90082418671304,175.4494649227111,187.45236745106675,False
2022-11-21,119.4628205128205,47,11,230.90416308424037,175.4494649227111,192.04709131694446,False
2022-11-28,651.5230146239097,48,11,304.8849203226441,175.4494649227111,199.7536614856411,False
2022-12-05,345.1278772378516,49,12,296.01336399108135,275.2378121284185,210.52429660227938,False
2022-12-12,278.1176470588235,50,12,348.5578398583513,278.1176470588235,218.9072753256836,False
2022-12-19,741.8989769820972,51,12,504.16687897567044,278.1176470588235,246.56941466373578,False
2022-12-26,849.229807197985,52,12,553.5935771191894,278.1176470588235,261.28574386477345,False
2023-01-02,1890.502654867256,1,1,939.9372715265404,345.1278772378516,333.997384436591,False
2023-01-09,185.7926675094816,2,1,916.856026639205,345.1278772378516,341.1432562638787,False
2023-01-16,578.9907206068267,3,1,876.1289625453874,355.5999856702948,361.73869926975715,False
2023-01-23,502.2877370417194,4,1,789.3934450063209,380.6141025641026,361.5248014731078,False
2023-01-30,356.7200128744969,5,1,405.9477845081311,380.6141025641026,367.3909292892357,False
2023-02-06,508.901154855643,6,2,486.72490634467147,502.2877370417194,385.5705935122423,False
2023-02-13,320.0603674540682,7,2,421.99231805648185,502.2877370417194,393.4389630827569,False
2023-02-20,84.53937007874015,8,2,317.55522631573706,502.2877370417194,393.12845255970217,False
2023-02-27,673.0103032741345,9,2,396.62779891564645,502.2877370417194,402.6089903072043,False
2023-03-06,334.8597372262774,10,3,353.1174445083051,502.2877370417194,411.0117299794793,False
2023-03-13,1002.594832116788,11,3,523.751060673985,508.901154855643,442.8322208699128,False
2023-03-20,504.4465401459854,12,3,628.7278531907963,504.4465401459854,448.26460327163727,False
2023-03-27,759.2730861313869,13,3,650.2935489051094,504.4465401459854,460.57595112232616,False
2023-04-03,106.134144,14,4,593.1121505985401,502.2877370417194,463.396714641214,False
2023-04-10,0.0,15,4,342.46344256934304,502.2877370417194,463.396714641214,False
2023-04-17,373.512,16,4,309.72980753284673,373.512,467.17649109781325,False
2023-04-24,286.371808,17,4,191.50448799999998,356.7200128744969,471.4427350623243,False
2023-05-01,891.0876712328767,18,5,387.7428698082192,373.512,492.0384152762698,False
2023-05-08,0.0,19,5,387.7428698082192,334.8597372262774,477.3994113314966,False
2023-05-15,37.10616438356165,20,5,303.6414109041096,334.8597372262774,476.2135044389512,False
2023-05-22,1162.758767123288,21,5,522.7381506849315,373.512,516.3402716162768,False
2023-05-29,58.69520547945206,22,5,314.64003424657545,334.8597372262774,493.53920203379766,False
2023-06-05,165.8537549407115,23,6,356.10347298175327,286.371808,486.64404348390775,False
2023-06-12,53.72727272727273,24,6,360.25875006768104,165.8537549407115,478.01364447115577,False
2023-06-19,0.0,25,6,69.56905828685908,106.134144,449.47906843338274,False
2023-06-26,634.0281474085504,26,6,213.40229376913365,106.134144,441.2020815184045,False
2023-07-03,0.0,27,7,171.93885503395578,58.69520547945206,368.490440946587,False
2023-07-10,1462.513194154488,28,7,524.1353353907596,165.8537549407115,417.59507658677956,False
2023-07-17,568.3799582463464,29,7,666.2303249523462,165.8537549407115,417.1869703421456,False
2023-07-24,609.1536116910229,30,7,660.0116910229643,165.8537549407115,421.29719629019576,False
2023-07-31,1494.48275862069,31,7,1033.6323806781368,165.8537549407115,465.05730189581857,False
2023-08-07,604.4588362068965,32,8,819.118791191239,568.3799582463464,468.7325973324053,False
2023-08-14,417.7758620689655,33,8,781.4677671468937,568.3799582463464,472.4908855868244,False
2023-08-21,442.4008620689655,34,8,739.7795797413794,442.4008620689655,486.25478912491,False
2023-08-28,2250.320466873305,35,8,928.7390068045332,568.3799582463464,546.9205646479551,False
2023-09-04,2127.90988764045,36,9,1309.6017696629215,604.4588362068965,615.8840319715771,False
2023-09-11,461.7325842696629,37,9,1320.590950213096,604.4588362068965,595.0816378236107,False
2023-09-18,530.2620224719101,38,9,1342.556240313832,604.4588362068965,596.0745409899924,False
2023-09-25,567.9818536688294,39,9,921.9715870127131,568.3799582463464,588.7171858952787,False
2023-10-02,454.1173708920188,40,10,503.5234578256053,568.3799582463464,602.1011561603564,False
2023-10-09,925.8075117370892,41,10,619.5421896924619,568.3799582463464,637.7091373810136,False
2023-10-16,2072.819201877934,42,10,1005.1814845439678,604.4588362068965,703.0671066840112,False
2023-10-23,0.0,43,10,863.1860211267605,567.9818536688294,692.0528063763188,False
2023-10-30,2385.585732916015,44,10,1346.0531116327595,567.9818536688294,749.5335010564395,False
2023-11-06,496.786574074074,45,11,1238.7978772170059,530.2620224719101,768.6406769823654,False
2023-11-13,614.2569444444443,46,11,874.1573128586333,567.9818536688294,790.838783907784,False
2023-11-20,1026.041666666667,47,11,1130.6677295253,614.2569444444443,785.5804338902217,False
2023-11-27,1036.623136027659,48,11,793.4270803032111,614.2569444444443,823.1930466036142,False
2023-12-04,2378.677768240343,49,12,1263.8998788447784,614.2569444444443,908.3016624997539,False
