descripcion_normalizada,insumo_id,aprobado,decision,evidencia
RELLENO FRESA FRUTIFRU,,False,revisar,
RELLENO QUESO CREME P,,False,revisar,
RELLENO ZARZAMORA FRUITFILL PURAT,,False,revisar,
RELLENO ZARZAMORA PURATOS,,False,revisar,
REMOVEDOR,,False,revisar,
REMOVEDOR 15,,False,revisar,
"REYMA TAPA N.10, 50 PZ",,False,revisar,
REYMA VASO N.10 50 PZ,,False,revisar,
RICH PINA COLADA,,False,revisar,
RK MALV,,False,revisar,
RODILLO DE SILICON,,False,revisar,
ROLLO 45,,False,revisar,
ROYAL ICING,,False,revisar,
ROYAL ICING DEIMAN 50,,False,revisar,
ROYAL ICING DEIMAN 500G,,False,revisar,
ROYAL ICING ENCO,,False,revisar,
RUTZ,,False,revisar,
SABOR RED VELVET,,False,revisar,
SABORIZANT,,False,revisar,
SABROSANO,,False,revisar,
SAN JUAN HVO,,False,revisar,
SANTA CLAR,,False,revisar,
SICAO BLANCO,,False,revisar,
SICAO BLANCO REAL,,False,revisar,
SJUAN HVO,,False,revisar,
SOPORTES,,False,revisar,
SOYARADIR,,False,revisar,
SPRINKLES,,False,revisar,
SRPINKLES,,False,revisar,
SUSPIRO,,False,revisar,
TAPA REYMA C/50,,False,revisar,
TAPETE DE SILICON,,False,revisar,
TEGRAL SATIN CREME CA,,False,revisar,
TEGRAL SATIN CREME CAKE CHOCOLATE,,False,revisar,
TEGRAL SATIN CREME CAKE PURATOS,,False,revisar,
TEGRAL SATIN CREME CAKE VAINILLA,,False,revisar,
TEGRAL SATIN RED VELET CAKE PURATOS,,False,revisar,
TEGRAL SATIN RED VELVET CAKE PURATOS,,False,revisar,
TEGRAL SATIN RED VELVET PURATOS,,False,revisar,
TRANSFER,,False,revisar,
TRANSFER HOJA DE ARROZ GRUESA,,False,revisar,
TREGAL SATIN CREME CA,,False,revisar,
TREGAL SATIN CREME CAKE CHOCOLATE,,False,revisar,
TREGAL SATIN CREME CAKE VAINILLA,,False,revisar,
TURIN AMARGO,,False,revisar,
TURIN CONEJOS MINI 120 GR,,False,revisar,
TURIN SEMI TROZO,,False,revisar,
TURIN SEMIAMARGO,,False,revisar,
TURIN TUBO BAILEYS 200 G,,False,revisar,
VAINILLA,,False,revisar,
"VARIOS ARTICULOS (DOMO, BASES, CAKETOPPER, SPRINKLES)",,False,revisar,
VASO 4 ANCHO REYMA C/,,False,revisar,
VELA BABY YODA,,False,revisar,
VELA CHISPA,,False,revisar,
VELAS,,False,revisar,
VINIL BRILLANTE 140X50 CM,,False,revisar,
WYBOROWA,,False,revisar,
YAHEL PLATANO 500GR,,False,revisar,
ZULKA AZUCAR GLASS 500 G,,False,revisar,
ZULKA GLASS,,False,revisar,
