origen,fecha_objetivo,horizonte,modelo,fold,error_abs,mae_acumulado
2022-10-03,2022-10-03,1,estacional_52s,1,0.0,0.0
2022-10-03,2022-10-03,1,hibrido,1,371.12150350920876,371.12150350920876
2022-10-03,2022-10-03,1,promedio_4s,1,381.66749999999996,381.66749999999996
2022-10-03,2022-10-03,1,rf,1,353.8320680164034,353.8320680164034
2022-10-03,2022-10-03,1,ss_arima111,1,376.8846486734773,376.8846486734773
2022-10-03,2022-10-03,1,ultimo_valor,1,402.53,402.53
2022-10-24,2022-10-24,1,estacional_52s,2,82.28000000000009,41.14000000000004
2022-10-24,2022-10-24,1,hibrido,2,101.92503389987286,236.5232687045408
2022-10-24,2022-10-24,1,promedio_4s,2,157.74250000000006,269.70500000000004
2022-10-24,2022-10-24,1,rf,2,58.52468383094987,206.17837592367664
2022-10-24,2022-10-24,1,ss_arima111,2,116.3918172561805,246.6382329648289
2022-10-24,2022-10-24,1,ultimo_valor,2,0.22000000000008413,201.37500000000003
2022-11-14,2022-11-14,1,estacional_52s,3,76.82999999999998,53.03666666666669
2022-11-14,2022-11-14,1,hibrido,3,67.57420893110196,180.20691544672786
2022-11-14,2022-11-14,1,promedio_4s,3,29.282500000000027,189.5641666666667
2022-11-14,2022-11-14,1,rf,3,40.75896366744365,151.03857183826565
2022-11-14,2022-11-14,1,ss_arima111,3,76.51262401898805,189.92969664954862
2022-11-14,2022-11-14,1,ultimo_valor,3,24.349999999999966,142.36666666666667
2022-12-05,2022-12-05,1,estacional_52s,4,71.51999999999998,57.65750000000001
2022-12-05,2022-12-05,1,hibrido,4,3.660891891381141,136.0704095578912
2022-12-05,2022-12-05,1,promedio_4s,4,61.91500000000002,157.65187500000002
2022-12-05,2022-12-05,1,rf,4,32.3930250156788,121.37718513261893
2022-12-05,2022-12-05,1,ss_arima111,4,5.91648581671808,143.92639394134096
2022-12-05,2022-12-05,1,ultimo_valor,4,18.71999999999997,111.455
2022-12-26,2022-12-26,1,estacional_52s,5,57.950000000000045,57.71600000000002
2022-12-26,2022-12-26,1,hibrido,5,52.09111189918531,119.27455002615002
2022-12-26,2022-12-26,1,promedio_4s,5,16.57249999999999,129.436
2022-12-26,2022-12-26,1,rf,5,135.7586579712513,124.25347970034541
2022-12-26,2022-12-26,1,ss_arima111,5,24.20192987516333,119.98150112810545
2022-12-26,2022-12-26,1,ultimo_valor,5,25.87999999999994,94.33999999999999
2023-01-16,2023-01-16,1,estacional_52s,6,65.21999999999997,58.966666666666676
2023-01-16,2023-01-16,1,hibrido,6,107.47228088869076,117.30750516990679
2023-01-16,2023-01-16,1,promedio_4s,6,180.87749999999994,138.00958333333332
2023-01-16,2023-01-16,1,rf,6,112.59473307798186,122.3103552632848
2023-01-16,2023-01-16,1,ss_arima111,6,105.76479682559375,117.61205041102016
