semana_inicio,fondant_sin_especificacion,nutella,tegral_satin_creme_cake_sabor_no_especificado,chantilly_sin_especificacion,crema_batir_ambiente_1_l,queso_philadelphia,tegral_satin_red_velvet,easy_pastel_tres_leches_sabor_no_especificado,transfer_sin_especificacion,chantilly_dulce,chantilly_asturias,chips_blanco_alpezzi,fondant_nata_coco_blanco,chantilly_dull,capacillos,huevo_sin_especificacion,contenedor_mantecadas_inix_25_pz,confitier_semiamargo_turin,chips_chocolate_semi,tegral_satin_vainilla,transfer_hoja_de_arroz_gruesa,tegral_satin_chocolate,domo_cupcake_12,mantequilla_gloria_presentacion_no_especificada,ferrero_rocher_t16,huevo_san_juan,relleno_zarzamora_puratos,aceite_sin_especificacion,matizador,caja_de_carton_para_cupcake_6_pz,carlos_v_stick,kisses_leche,empaque_32_x_32_x_30,ferrero_sin_especificacion,domo_media_plancha_inix,deiman_plumones_magicos,empaque_30_x_30_x_30,queso_crema_suelto,royal_icing_deiman_50_sin_unidad,pegamento_fondant,base_28_cm,bailey_s,domo_1_4_plancha,colorantes_9_colores,sabrosano,huevo_blanco_tepa_de_linea,mangas,relleno_durazno_puratos,kit_kat_9_pz,oblea_arroz,huevo_calvario,bisagra_12_cupcakes,chocolate_sin_especificacion,caja_cupcake_12,empaque_31_x_31_x_20,oreo_273_6,perlas_sin_especificacion,chips_chocolate_con_l,relleno_fresa_frutifru,base_36_cm_doble,harina_red_velvet_esp,mantequilla_gloria_verde,caja_cupcake_6,botellas_jack_daniels,royal_icing_sin_especificacion,azucar_glass,kisses_leche_choc_bl_807_gr,dlr_malvavisco_chocolate_32_pz,alpezzi_blanco,relleno_queso_creme_p,ac_au800,domo_cupcake_6,caja_cupcake_sin_capacidad,red_velvet,cereza_con_rabo_diana,charola_galletera_alta_grande,mantequilla_gloria_22,domo_cupcake_sin_capacidad,relleno_zarzamora_fruitfil_puratos,chips_rojo_alpezzi,capacillo_floreado_alegria,inix_contenedor_mantecadas,otros
2021-09-20,0.16484607745779542,0.0,0.0,0.0,0.0,0.0,0.0,0.08937437934458789,0.35749751737835156,0.0,0.0,0.0,0.0,0.0,0.20854021847070506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06256206554121152,0.0,0.0,0.0,0.0,0.0,0.019860973187686197,0.09731876861966236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-27,0.0,0.12294306790240211,0.0,0.3045205220351806,0.0,0.11159447701910345,0.049177227160960846,0.08511443162473992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15131454511064873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0605258180442595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11480991110270475
2021-10-04,0.0,0.0,0.0,0.0,0.21367521367521367,0.2564102564102564,0.0,0.42735042735042733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10256410256410256
2021-10-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3383458646616541,0.0,0.0,0.6616541353383458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-18,0.0,0.0,0.0,0.0,0.0,0.3617021276595745,0.0,0.0,0.0,0.0,0.46808510638297873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1702127659574468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-25,0.0,0.0,0.0,0.1672473867595819,0.0,0.11846689895470383,0.0,0.09581881533101046,0.0,0.0,0.07665505226480836,0.0,0.0,0.0,0.13588850174216027,0.0627177700348432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078397212543554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06968641114982578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017421602787456445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17770034843205576
2021-11-01,0.0,0.0,0.0,0.5875706214689266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1694915254237288,0.0,0.0,0.0,0.0,0.24293785310734464
2021-11-08,0.0,0.31630170316301703,0.12652068126520682,0.0,0.0,0.0,0.25304136253041365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11678832116788321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1873479318734793
2021-11-15,0.30099728014505894,0.0,0.0,0.0,0.09066183136899365,0.0,0.0942883046237534,0.1631912964641886,0.0,0.0,0.0,0.0,0.0,0.0,0.0815956482320943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0815956482320943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050770625566636446,0.0,0.0,0.0,0.0,0.0,0.0,0.06346328195829556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07343608340888486
2021-11-22,0.3593073593073593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19480519480519481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2987012987012987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1471861471861472
