archivo,sha256,estado,registros_validos,pendientes,importe_nominal_valido,inicio,fin,observacion
C:\Python\tesis\codigos\outputs\complemento_rolling_2022_2024\Compras_complementadas_entrenamiento.xlsx,dad9166a4fc84a70854420c320d5bdd50a25296cb3449bc10cc8d09e77fb02cf,auditado,2346,0,83512.72,2022-01-03 00:00:00,2024-01-24 00:00:00,Totales de registros sin incidencias; no equivalen a cobertura verificada.
C:\Python\tesis\input\compras_limpias.xlsx,5531ac855e166812b6e3538e9910a11a664c817232b08ca9fe14e72ce76ec930,auditado,1333,0,92984.91,2022-01-01 00:00:00,2025-07-30 00:00:00,Totales de registros sin incidencias; no equivalen a cobertura verificada.
C:\Python\tesis\input\compras_limpias_corregidas.xlsx,38afb7c8146fb88358f0e306b933db51e8d6e0e69793ad248226d978c23f89ef,auditado,1333,0,92984.91,2022-01-01 00:00:00,2025-07-30 00:00:00,Totales de registros sin incidencias; no equivalen a cobertura verificada.
