fecha,evento,tipo,peso_comercial
2024-06-15,Pago_Quincenal,PAGO,3
2024-06-15,Graduaciones,COMERCIAL,4
2024-06-16,Dia_Padre,COMERCIAL,4
2024-06-21,Pago_Semanal,PAGO,1
2024-06-28,Pago_Semanal,PAGO,1
2024-06-30,Pago_Quincenal,PAGO,3
2024-06-30,Pago_Mensual,PAGO,2
2024-07-05,Pago_Semanal,PAGO,1
2024-07-12,Pago_Semanal,PAGO,1
2024-07-15,Graduaciones,COMERCIAL,4
2024-07-15,Pago_Quincenal,PAGO,3
2024-07-19,Pago_Semanal,PAGO,1
2024-07-26,Pago_Semanal,PAGO,1
2024-07-31,Pago_Quincenal,PAGO,3
2024-07-31,Pago_Mensual,PAGO,2
2024-08-02,Pago_Semanal,PAGO,1
2024-08-09,Pago_Semanal,PAGO,1
2024-08-15,Pago_Quincenal,PAGO,3
2024-08-16,Pago_Semanal,PAGO,1
2024-08-23,Pago_Semanal,PAGO,1
2024-08-30,Pago_Semanal,PAGO,1
2024-08-31,Pago_Mensual,PAGO,2
2024-08-31,Pago_Quincenal,PAGO,3
2024-09-06,Pago_Semanal,PAGO,1
2024-09-13,Pago_Semanal,PAGO,1
2024-09-15,Pago_Quincenal,PAGO,3
2024-09-16,Fiestas_Patrias,COMERCIAL,3
2024-09-20,Pago_Semanal,PAGO,1
2024-09-27,Pago_Semanal,PAGO,1
2024-09-30,Pago_Quincenal,PAGO,3
2024-09-30,Pago_Mensual,PAGO,2
2024-10-04,Pago_Semanal,PAGO,1
2024-10-11,Pago_Semanal,PAGO,1
2024-10-15,Pago_Quincenal,PAGO,3
2024-10-18,Pago_Semanal,PAGO,1
2024-10-25,Pago_Semanal,PAGO,1
2024-10-31,Pago_Mensual,PAGO,2
2024-10-31,Halloween,COMERCIAL,5
2024-10-31,Pago_Quincenal,PAGO,3
2024-11-01,Dia_Muertos,COMERCIAL,5
2024-11-01,Pago_Semanal,PAGO,1
2024-11-02,Dia_Muertos,COMERCIAL,5
2024-11-08,Pago_Semanal,PAGO,1
2024-11-15,Pago_Quincenal,PAGO,3
2024-11-15,Pago_Semanal,PAGO,1
2024-11-22,Pago_Semanal,PAGO,1
2024-11-29,Pago_Semanal,PAGO,1
2024-11-30,Pago_Mensual,PAGO,2
2024-11-30,Pago_Quincenal,PAGO,3
2024-12-06,Pago_Semanal,PAGO,1
2024-12-12,Guadalupe,COMERCIAL,2
2024-12-13,Pago_Semanal,PAGO,1
2024-12-15,Pago_Quincenal,PAGO,3
2024-12-16,Posadas,COMERCIAL,4
2024-12-20,Pago_Semanal,PAGO,1
2024-12-24,Navidad,COMERCIAL,5
2024-12-25,Navidad,COMERCIAL,5
2024-12-27,Pago_Semanal,PAGO,1
2024-12-31,Fin_Anio,COMERCIAL,5
2024-12-31,Pago_Quincenal,PAGO,3
2024-12-31,Pago_Mensual,PAGO,2
2025-01-03,Pago_Semanal,PAGO,1
2025-01-06,Reyes,COMERCIAL,5
2025-01-10,Pago_Semanal,PAGO,1
2025-01-15,Pago_Quincenal,PAGO,3
2025-01-17,Pago_Semanal,PAGO,1
2025-01-24,Pago_Semanal,PAGO,1
2025-01-31,Pago_Quincenal,PAGO,3
2025-01-31,Pago_Semanal,PAGO,1
2025-01-31,Pago_Mensual,PAGO,2
2025-02-07,Pago_Semanal,PAGO,1
2025-02-14,Pago_Semanal,PAGO,1
2025-02-14,San_Valentin,COMERCIAL,5
2025-02-15,Pago_Quincenal,PAGO,3
2025-02-21,Pago_Semanal,PAGO,1
2025-02-28,Pago_Mensual,PAGO,2
2025-02-28,Pago_Semanal,PAGO,1
2025-02-28,Pago_Quincenal,PAGO,3
2025-03-07,Pago_Semanal,PAGO,1
2025-03-08,Dia_Mujer,COMERCIAL,2
2025-03-14,Pago_Semanal,PAGO,1
2025-03-15,Pago_Quincenal,PAGO,3
2025-03-21,Pago_Semanal,PAGO,1
2025-03-28,Pago_Semanal,PAGO,1
2025-03-31,Pago_Quincenal,PAGO,3
2025-03-31,Pago_Mensual,PAGO,2
2025-04-04,Pago_Semanal,PAGO,1
2025-04-11,Pago_Semanal,PAGO,1
2025-04-15,Pago_Quincenal,PAGO,3
2025-04-18,Pago_Semanal,PAGO,1
2025-04-25,Pago_Semanal,PAGO,1
2025-04-30,Pago_Mensual,PAGO,2
2025-04-30,Dia_Nino,COMERCIAL,4
2025-04-30,Pago_Quincenal,PAGO,3
2025-05-02,Pago_Semanal,PAGO,1
2025-05-09,Pago_Semanal,PAGO,1
2025-05-10,Dia_Madres,COMERCIAL,5
2025-05-15,Dia_Maestro,COMERCIAL,2
2025-05-15,Pago_Quincenal,PAGO,3
2025-05-16,Pago_Semanal,PAGO,1
2025-05-23,Pago_Semanal,PAGO,1
2025-05-30,Pago_Semanal,PAGO,1
2025-05-31,Pago_Quincenal,PAGO,3
2025-05-31,Pago_Mensual,PAGO,2
2025-06-06,Pago_Semanal,PAGO,1
2025-06-13,Pago_Semanal,PAGO,1
2025-06-15,Pago_Quincenal,PAGO,3
2025-06-15,Graduaciones,COMERCIAL,4
2025-06-15,Dia_Padre,COMERCIAL,4
2025-06-20,Pago_Semanal,PAGO,1
2025-06-27,Pago_Semanal,PAGO,1
2025-06-30,Pago_Quincenal,PAGO,3
2025-06-30,Pago_Mensual,PAGO,2
2025-07-04,Pago_Semanal,PAGO,1
2025-07-11,Pago_Semanal,PAGO,1
2025-07-15,Graduaciones,COMERCIAL,4
2025-07-15,Pago_Quincenal,PAGO,3
2025-07-18,Pago_Semanal,PAGO,1
2025-07-25,Pago_Semanal,PAGO,1
2025-07-31,Pago_Mensual,PAGO,2
2025-07-31,Pago_Quincenal,PAGO,3
2025-08-01,Pago_Semanal,PAGO,1
2025-08-08,Pago_Semanal,PAGO,1
2025-08-15,Pago_Semanal,PAGO,1
2025-08-15,Pago_Quincenal,PAGO,3
2025-08-22,Pago_Semanal,PAGO,1
2025-08-29,Pago_Semanal,PAGO,1
2025-08-31,Pago_Quincenal,PAGO,3
2025-08-31,Pago_Mensual,PAGO,2
2025-09-05,Pago_Semanal,PAGO,1
2025-09-12,Pago_Semanal,PAGO,1
2025-09-15,Pago_Quincenal,PAGO,3
2025-09-16,Fiestas_Patrias,COMERCIAL,3
2025-09-19,Pago_Semanal,PAGO,1
2025-09-26,Pago_Semanal,PAGO,1
2025-09-30,Pago_Mensual,PAGO,2
2025-09-30,Pago_Quincenal,PAGO,3
2025-10-03,Pago_Semanal,PAGO,1
2025-10-10,Pago_Semanal,PAGO,1
2025-10-15,Pago_Quincenal,PAGO,3
2025-10-17,Pago_Semanal,PAGO,1
2025-10-24,Pago_Semanal,PAGO,1
2025-10-31,Pago_Quincenal,PAGO,3
2025-10-31,Pago_Semanal,PAGO,1
2025-10-31,Pago_Mensual,PAGO,2
2025-10-31,Halloween,COMERCIAL,5
2025-11-01,Dia_Muertos,COMERCIAL,5
2025-11-02,Dia_Muertos,COMERCIAL,5
2025-11-07,Pago_Semanal,PAGO,1
2025-11-14,Pago_Semanal,PAGO,1
2025-11-15,Pago_Quincenal,PAGO,3
2025-11-21,Pago_Semanal,PAGO,1
2025-11-28,Pago_Semanal,PAGO,1
2025-11-30,Pago_Mensual,PAGO,2
2025-11-30,Pago_Quincenal,PAGO,3
2025-12-05,Pago_Semanal,PAGO,1
2025-12-12,Guadalupe,COMERCIAL,2
2025-12-12,Pago_Semanal,PAGO,1
2025-12-15,Pago_Quincenal,PAGO,3
2025-12-16,Posadas,COMERCIAL,4
2025-12-19,Pago_Semanal,PAGO,1
2025-12-24,Navidad,COMERCIAL,5
2025-12-25,Navidad,COMERCIAL,5
2025-12-26,Pago_Semanal,PAGO,1
2025-12-31,Pago_Mensual,PAGO,2
2025-12-31,Fin_Anio,COMERCIAL,5
2025-12-31,Pago_Quincenal,PAGO,3
2026-01-02,Pago_Semanal,PAGO,1
2026-01-06,Reyes,COMERCIAL,5
2026-01-09,Pago_Semanal,PAGO,1
2026-01-15,Pago_Quincenal,PAGO,3
2026-01-16,Pago_Semanal,PAGO,1
2026-01-23,Pago_Semanal,PAGO,1
2026-01-30,Pago_Semanal,PAGO,1
2026-01-31,Pago_Quincenal,PAGO,3
2026-01-31,Pago_Mensual,PAGO,2
2026-02-06,Pago_Semanal,PAGO,1
2026-02-13,Pago_Semanal,PAGO,1
2026-02-14,San_Valentin,COMERCIAL,5
2026-02-15,Pago_Quincenal,PAGO,3
2026-02-20,Pago_Semanal,PAGO,1
2026-02-27,Pago_Semanal,PAGO,1
2026-02-28,Pago_Mensual,PAGO,2
2026-02-28,Pago_Quincenal,PAGO,3
2026-03-06,Pago_Semanal,PAGO,1
2026-03-08,Dia_Mujer,COMERCIAL,2
2026-03-13,Pago_Semanal,PAGO,1
2026-03-15,Pago_Quincenal,PAGO,3
2026-03-20,Pago_Semanal,PAGO,1
2026-03-27,Pago_Semanal,PAGO,1
2026-03-31,Pago_Quincenal,PAGO,3
2026-03-31,Pago_Mensual,PAGO,2
2026-04-03,Pago_Semanal,PAGO,1
2026-04-10,Pago_Semanal,PAGO,1
2026-04-15,Pago_Quincenal,PAGO,3
2026-04-17,Pago_Semanal,PAGO,1
2026-04-24,Pago_Semanal,PAGO,1
2026-04-30,Pago_Quincenal,PAGO,3
2026-04-30,Dia_Nino,COMERCIAL,4
2026-04-30,Pago_Mensual,PAGO,2
2026-05-01,Pago_Semanal,PAGO,1
2026-05-08,Pago_Semanal,PAGO,1
2026-05-10,Dia_Madres,COMERCIAL,5
2026-05-15,Pago_Semanal,PAGO,1
2026-05-15,Dia_Maestro,COMERCIAL,2
2026-05-15,Pago_Quincenal,PAGO,3
2026-05-22,Pago_Semanal,PAGO,1
2026-05-29,Pago_Semanal,PAGO,1
2026-05-31,Pago_Quincenal,PAGO,3
2026-05-31,Pago_Mensual,PAGO,2
2026-06-05,Pago_Semanal,PAGO,1
2026-06-12,Pago_Semanal,PAGO,1
2026-06-15,Pago_Quincenal,PAGO,3
2026-06-15,Graduaciones,COMERCIAL,4
2026-06-19,Pago_Semanal,PAGO,1
2026-06-21,Dia_Padre,COMERCIAL,4
2026-06-26,Pago_Semanal,PAGO,1
2026-06-30,Pago_Mensual,PAGO,2
2026-06-30,Pago_Quincenal,PAGO,3
2026-07-03,Pago_Semanal,PAGO,1
2026-07-10,Pago_Semanal,PAGO,1
2026-07-15,Graduaciones,COMERCIAL,4
2026-07-15,Pago_Quincenal,PAGO,3
2026-07-17,Pago_Semanal,PAGO,1
2026-07-24,Pago_Semanal,PAGO,1
2026-07-31,Pago_Quincenal,PAGO,3
2026-07-31,Pago_Mensual,PAGO,2
2026-07-31,Pago_Semanal,PAGO,1
2026-08-07,Pago_Semanal,PAGO,1
2026-08-14,Pago_Semanal,PAGO,1
2026-08-15,Pago_Quincenal,PAGO,3
2026-08-21,Pago_Semanal,PAGO,1
2026-08-28,Pago_Semanal,PAGO,1
2026-08-31,Pago_Quincenal,PAGO,3
2026-08-31,Pago_Mensual,PAGO,2
2026-09-04,Pago_Semanal,PAGO,1
2026-09-11,Pago_Semanal,PAGO,1
2026-09-15,Pago_Quincenal,PAGO,3
2026-09-16,Fiestas_Patrias,COMERCIAL,3
2026-09-18,Pago_Semanal,PAGO,1
2026-09-25,Pago_Semanal,PAGO,1
2026-09-30,Pago_Mensual,PAGO,2
2026-09-30,Pago_Quincenal,PAGO,3
2026-10-02,Pago_Semanal,PAGO,1
2026-10-09,Pago_Semanal,PAGO,1
2026-10-15,Pago_Quincenal,PAGO,3
2026-10-16,Pago_Semanal,PAGO,1
2026-10-23,Pago_Semanal,PAGO,1
2026-10-30,Pago_Semanal,PAGO,1
2026-10-31,Pago_Mensual,PAGO,2
2026-10-31,Halloween,COMERCIAL,5
2026-10-31,Pago_Quincenal,PAGO,3
2026-11-01,Dia_Muertos,COMERCIAL,5
2026-11-02,Dia_Muertos,COMERCIAL,5
2026-11-06,Pago_Semanal,PAGO,1
2026-11-13,Pago_Semanal,PAGO,1
2026-11-15,Pago_Quincenal,PAGO,3
2026-11-20,Pago_Semanal,PAGO,1
2026-11-27,Pago_Semanal,PAGO,1
2026-11-30,Pago_Mensual,PAGO,2
2026-11-30,Pago_Quincenal,PAGO,3
2026-12-04,Pago_Semanal,PAGO,1
2026-12-11,Pago_Semanal,PAGO,1
2026-12-12,Guadalupe,COMERCIAL,2
2026-12-15,Pago_Quincenal,PAGO,3
2026-12-16,Posadas,COMERCIAL,4
2026-12-18,Pago_Semanal,PAGO,1
2026-12-24,Navidad,COMERCIAL,5
2026-12-25,Navidad,COMERCIAL,5
2026-12-25,Pago_Semanal,PAGO,1
2026-12-31,Pago_Quincenal,PAGO,3
2026-12-31,Fin_Anio,COMERCIAL,5
2026-12-31,Pago_Mensual,PAGO,2
