fecha,evento,tipo,peso_comercial
2021-10-15,Pago_Semanal,PAGO,1
2021-10-22,Pago_Semanal,PAGO,1
2021-10-29,Pago_Semanal,PAGO,1
2021-10-31,Halloween,COMERCIAL,5
2021-10-31,Pago_Quincenal,PAGO,3
2021-10-31,Pago_Mensual,PAGO,2
2021-11-01,Dia_Muertos,COMERCIAL,5
2021-11-02,Dia_Muertos,COMERCIAL,5
2021-11-05,Pago_Semanal,PAGO,1
2021-11-12,Pago_Semanal,PAGO,1
2021-11-15,Pago_Quincenal,PAGO,3
2021-11-19,Pago_Semanal,PAGO,1
2021-11-26,Pago_Semanal,PAGO,1
2021-11-30,Pago_Mensual,PAGO,2
2021-11-30,Pago_Quincenal,PAGO,3
2021-12-03,Pago_Semanal,PAGO,1
2021-12-10,Pago_Semanal,PAGO,1
2021-12-12,Guadalupe,COMERCIAL,2
2021-12-15,Pago_Quincenal,PAGO,3
2021-12-16,Posadas,COMERCIAL,4
2021-12-17,Pago_Semanal,PAGO,1
2021-12-24,Navidad,COMERCIAL,5
2021-12-24,Pago_Semanal,PAGO,1
2021-12-25,Navidad,COMERCIAL,5
2021-12-31,Fin_Anio,COMERCIAL,5
2021-12-31,Pago_Mensual,PAGO,2
2021-12-31,Pago_Semanal,PAGO,1
2021-12-31,Pago_Quincenal,PAGO,3
2022-01-06,Reyes,COMERCIAL,5
