Fecha,Valor
2022-06-01 00:00:00.000,7.9900
2022-07-01 00:00:00.000,8.1500
2022-08-01 00:00:00.000,8.7000
2022-09-01 00:00:00.000,8.7000
2022-11-01 00:00:00.000,7.8000
2022-12-01 00:00:00.000,7.8200
2023-01-01 00:00:00.000,7.9100
2023-04-01 00:00:00.000,6.2500
2023-05-01 00:00:00.000,5.8400
2023-07-01 00:00:00.000,4.7900
2023-10-01 00:00:00.000,4.2600
2023-11-01 00:00:00.000,4.3200
2024-01-01 00:00:00.000,4.8800
2024-04-01 00:00:00.000,4.6500
2024-05-01 00:00:00.000,4.6900
2024-07-01 00:00:00.000,5.5700
2024-09-01 00:00:00.000,4.5800
2024-10-01 00:00:00.000,4.7600
2024-12-01 00:00:00.000,4.2100
2025-05-01 00:00:00.000,4.4200
2025-07-01 00:00:00.000,3.5100
2025-08-01 00:00:00.000,3.5700
2025-10-01 00:00:00.000,3.5700
2025-11-01 00:00:00.000,3.8000
2026-02-01 00:00:00.000,4.0200
2026-04-01 00:00:00.000,4.4500
2026-05-01 00:00:00.000,3.9400
2022-01-01 00:00:00.000,7.0700
2022-02-01 00:00:00.000,7.2800
2022-03-01 00:00:00.000,7.4500
2022-04-01 00:00:00.000,7.6800
2023-06-01 00:00:00.000,5.0600
2025-04-01 00:00:00.000,3.9300
2026-01-01 00:00:00.000,3.7900
2024-03-01 00:00:00.000,4.4200
2025-01-01 00:00:00.000,3.5900
2025-06-01 00:00:00.000,4.3200
2023-02-01 00:00:00.000,7.6200
2023-12-01 00:00:00.000,4.6600
2022-05-01 00:00:00.000,7.6500
2022-10-01 00:00:00.000,8.4100
2024-11-01 00:00:00.000,4.5500
2025-12-01 00:00:00.000,3.6900
2023-09-01 00:00:00.000,4.4500
2025-02-01 00:00:00.000,3.7700
2026-03-01 00:00:00.000,4.5900
2023-08-01 00:00:00.000,4.6400
2024-06-01 00:00:00.000,4.9800
2025-09-01 00:00:00.000,3.7600
2023-03-01 00:00:00.000,6.8500
2024-02-01 00:00:00.000,4.4000
2024-08-01 00:00:00.000,4.9900
2025-03-01 00:00:00.000,3.8000
