Estado,Mes,Valor,fecha,archivo
Baja California Sur,Abr,21.9,01/04/2023,2023.pdf
Campeche,Abr,29.6,01/04/2023,2023.pdf
Coahuila,Abr,23.1,01/04/2023,2023.pdf
Colima,Abr,25,01/04/2023,2023.pdf
Chiapas,Abr,25.4,01/04/2023,2023.pdf
Chihuahua,Abr,18.5,01/04/2023,2023.pdf
Ciudad de México,Abr,19.7,01/04/2023,2023.pdf
Durango,Abr,20.4,01/04/2023,2023.pdf
Guanajuato,Abr,21.6,01/04/2023,2023.pdf
Guerrero,Abr,26.8,01/04/2023,2023.pdf
Hidalgo,Abr,21.4,01/04/2023,2023.pdf
Jalisco,Abr,21.9,01/04/2023,2023.pdf
Estado de México,Abr,16.5,01/04/2023,2023.pdf
Michoacán,Abr,22.3,01/04/2023,2023.pdf
Morelos,Abr,25,01/04/2023,2023.pdf
Nayarit,Abr,23.8,01/04/2023,2023.pdf
Nuevo León,Abr,23.6,01/04/2023,2023.pdf
Oaxaca,Abr,26.6,01/04/2023,2023.pdf
Puebla,Abr,20.7,01/04/2023,2023.pdf
Querétaro,Abr,22.8,01/04/2023,2023.pdf
Quintana Roo,Abr,27.6,01/04/2023,2023.pdf
San Luis Potosí,Abr,24.6,01/04/2023,2023.pdf
Sinaloa,Abr,24.1,01/04/2023,2023.pdf
Sonora,Abr,20.5,01/04/2023,2023.pdf
Tabasco,Abr,28.8,01/04/2023,2023.pdf
Tamaulipas,Abr,24.7,01/04/2023,2023.pdf
Tlaxcala,Abr,16.6,01/04/2023,2023.pdf
Veracruz,Abr,24.9,01/04/2023,2023.pdf
Yucatán,Abr,28.8,01/04/2023,2023.pdf
Zacatecas,Abr,19.7,01/04/2023,2023.pdf
Nacional,Abr,22.5,01/04/2023,2023.pdf
Aguascalientes,May,21.4,01/05/2023,2023.pdf
Baja California,May,19.6,01/05/2023,2023.pdf
Baja California Sur,May,23.1,01/05/2023,2023.pdf
Campeche,May,30.3,01/05/2023,2023.pdf
Coahuila,May,26.3,01/05/2023,2023.pdf
Colima,May,28.2,01/05/2023,2023.pdf
Chiapas,May,26.1,01/05/2023,2023.pdf
Chihuahua,May,22.1,01/05/2023,2023.pdf
Ciudad de México,May,19.9,01/05/2023,2023.pdf
Durango,May,21.6,01/05/2023,2023.pdf
Guanajuato,May,22.6,01/05/2023,2023.pdf
Guerrero,May,28,01/05/2023,2023.pdf
Hidalgo,May,21.6,01/05/2023,2023.pdf
Jalisco,May,24.4,01/05/2023,2023.pdf
Estado de México,May,17.6,01/05/2023,2023.pdf
Michoacán,May,24.2,01/05/2023,2023.pdf
Morelos,May,25.8,01/05/2023,2023.pdf
Nayarit,May,27.1,01/05/2023,2023.pdf
Nuevo León,May,25.1,01/05/2023,2023.pdf
Oaxaca,May,26.9,01/05/2023,2023.pdf
Puebla,May,21.2,01/05/2023,2023.pdf
Querétaro,May,23.8,01/05/2023,2023.pdf
Quintana Roo,May,28.9,01/05/2023,2023.pdf
San Luis Potosí,May,25.9,01/05/2023,2023.pdf
Sinaloa,May,26.9,01/05/2023,2023.pdf
Sonora,May,23.5,01/05/2023,2023.pdf
Tabasco,May,30.1,01/05/2023,2023.pdf
Tamaulipas,May,27.4,01/05/2023,2023.pdf
Tlaxcala,May,17.8,01/05/2023,2023.pdf
Veracruz,May,26.2,01/05/2023,2023.pdf
Yucatán,May,29.7,01/05/2023,2023.pdf
Zacatecas,May,21.4,01/05/2023,2023.pdf
Nacional,May,24.6,01/05/2023,2023.pdf
Aguascalientes,Jun,24.3,01/06/2023,2023.pdf
Baja California,Jun,21.8,01/06/2023,2023.pdf
Baja California Sur,Jun,26.1,01/06/2023,2023.pdf
Campeche,Jun,31.3,01/06/2023,2023.pdf
Coahuila,Jun,30.4,01/06/2023,2023.pdf
Colima,Jun,29,01/06/2023,2023.pdf
Chiapas,Jun,28.2,01/06/2023,2023.pdf
Chihuahua,Jun,26.5,01/06/2023,2023.pdf
Ciudad de México,Jun,22.2,01/06/2023,2023.pdf
Durango,Jun,25.4,01/06/2023,2023.pdf
Guanajuato,Jun,24.9,01/06/2023,2023.pdf
Guerrero,Jun,28.4,01/06/2023,2023.pdf
Hidalgo,Jun,24,01/06/2023,2023.pdf
Jalisco,Jun,26.5,01/06/2023,2023.pdf
Estado de México,Jun,18.4,01/06/2023,2023.pdf
Michoacán,Jun,25.4,01/06/2023,2023.pdf
Morelos,Jun,26.7,01/06/2023,2023.pdf
Nayarit,Jun,29.7,01/06/2023,2023.pdf
Nuevo León,Jun,29.7,01/06/2023,2023.pdf
Oaxaca,Jun,26.5,01/06/2023,2023.pdf
Puebla,Jun,22.1,01/06/2023,2023.pdf
Querétaro,Jun,25.4,01/06/2023,2023.pdf
Quintana Roo,Jun,29.7,01/06/2023,2023.pdf
San Luis Potosí,Jun,29,01/06/2023,2023.pdf
Sinaloa,Jun,30.1,01/06/2023,2023.pdf
Sonora,Jun,28.1,01/06/2023,2023.pdf
Tabasco,Jun,31.3,01/06/2023,2023.pdf
Tamaulipas,Jun,30.9,01/06/2023,2023.pdf
Tlaxcala,Jun,18.7,01/06/2023,2023.pdf
Veracruz,Jun,27.5,01/06/2023,2023.pdf
Yucatán,Jun,30.6,01/06/2023,2023.pdf
Zacatecas,Jun,25,01/06/2023,2023.pdf
Nacional,Jun,27.4,01/06/2023,2023.pdf
Aguascalientes,Jul,22.4,01/07/2023,2023.pdf
Baja California,Jul,27.1,01/07/2023,2023.pdf
Baja California Sur,Jul,29.6,01/07/2023,2023.pdf
Campeche,Jul,30.4,01/07/2023,2023.pdf
Coahuila,Jul,29.7,01/07/2023,2023.pdf
Colima,Jul,29.1,01/07/2023,2023.pdf
Chiapas,Jul,26.8,01/07/2023,2023.pdf
Chihuahua,Jul,27.7,01/07/2023,2023.pdf
Ciudad de México,Jul,19.5,01/07/2023,2023.pdf
Durango,Jul,24.5,01/07/2023,2023.pdf
Guanajuato,Jul,22.3,01/07/2023,2023.pdf
Guerrero,Jul,27,01/07/2023,2023.pdf
Hidalgo,Jul,22.3,01/07/2023,2023.pdf
Jalisco,Jul,24.3,01/07/2023,2023.pdf
Estado de México,Jul,16.9,01/07/2023,2023.pdf
Michoacán,Jul,22.9,01/07/2023,2023.pdf
Morelos,Jul,24.1,01/07/2023,2023.pdf
Nayarit,Jul,29.3,01/07/2023,2023.pdf
Nuevo León,Jul,30.1,01/07/2023,2023.pdf
Oaxaca,Jul,25.6,01/07/2023,2023.pdf
Puebla,Jul,20.3,01/07/2023,2023.pdf
Querétaro,Jul,23.5,01/07/2023,2023.pdf
Quintana Roo,Jul,30,01/07/2023,2023.pdf
San Luis Potosí,Jul,27.9,01/07/2023,2023.pdf
Sinaloa,Jul,31.5,01/07/2023,2023.pdf
Sonora,Jul,32.8,01/07/2023,2023.pdf
Tabasco,Jul,29.5,01/07/2023,2023.pdf
Tamaulipas,Jul,31.3,01/07/2023,2023.pdf
Tlaxcala,Jul,17.5,01/07/2023,2023.pdf
Veracruz,Jul,25.9,01/07/2023,2023.pdf
Yucatán,Jul,30.4,01/07/2023,2023.pdf
Zacatecas,Jul,23.1,01/07/2023,2023.pdf
Nacional,Jul,27.6,01/07/2023,2023.pdf
Aguascalientes,Ago,21.3,01/08/2023,2023.pdf
Baja California,Ago,26.9,01/08/2023,2023.pdf
Baja California Sur,Ago,29.9,01/08/2023,2023.pdf
Campeche,Ago,29.7,01/08/2023,2023.pdf
Coahuila,Ago,30.5,01/08/2023,2023.pdf
Colima,Ago,28.9,01/08/2023,2023.pdf
Chiapas,Ago,27,01/08/2023,2023.pdf
Chihuahua,Ago,26.6,01/08/2023,2023.pdf
Ciudad de México,Ago,19.3,01/08/2023,2023.pdf
Durango,Ago,24.3,01/08/2023,2023.pdf
Guanajuato,Ago,21.4,01/08/2023,2023.pdf
Guerrero,Ago,26.4,01/08/2023,2023.pdf
Hidalgo,Ago,22.2,01/08/2023,2023.pdf
Jalisco,Ago,23.5,01/08/2023,2023.pdf
Estado de México,Ago,16.5,01/08/2023,2023.pdf
Michoacán,Ago,22.3,01/08/2023,2023.pdf
Morelos,Ago,23.8,01/08/2023,2023.pdf
Nayarit,Ago,28.7,01/08/2023,2023.pdf
Nuevo León,Ago,30.1,01/08/2023,2023.pdf
Oaxaca,Ago,25.5,01/08/2023,2023.pdf
Puebla,Ago,20.1,01/08/2023,2023.pdf
Querétaro,Ago,22.1,01/08/2023,2023.pdf
Quintana Roo,Ago,29.8,01/08/2023,2023.pdf
San Luis Potosí,Ago,27.8,01/08/2023,2023.pdf
Sinaloa,Ago,30.9,01/08/2023,2023.pdf
Sonora,Ago,31.7,01/08/2023,2023.pdf
Tabasco,Ago,29.3,01/08/2023,2023.pdf
Tamaulipas,Ago,31.1,01/08/2023,2023.pdf
Tlaxcala,Ago,17.2,01/08/2023,2023.pdf
Veracruz,Ago,25.7,01/08/2023,2023.pdf
Yucatán,Ago,29.8,01/08/2023,2023.pdf
Zacatecas,Ago,22.4,01/08/2023,2023.pdf
Nacional,Ago,27.2,01/08/2023,2023.pdf
Aguascalientes,Sep,21.1,01/09/2023,2023.pdf
Baja California,Sep,24.3,01/09/2023,2023.pdf
Baja California Sur,Sep,29.2,01/09/2023,2023.pdf
Campeche,Sep,29.3,01/09/2023,2023.pdf
Coahuila,Sep,29.3,01/09/2023,2023.pdf
Colima,Sep,29.3,01/09/2023,2023.pdf
Chiapas,Sep,26.5,01/09/2023,2023.pdf
Chihuahua,Sep,25.1,01/09/2023,2023.pdf
Ciudad de México,Sep,19.5,01/09/2023,2023.pdf
Durango,Sep,23.9,01/09/2023,2023.pdf
Guanajuato,Sep,21.7,01/09/2023,2023.pdf
Guerrero,Sep,26.5,01/09/2023,2023.pdf
Hidalgo,Sep,22.5,01/09/2023,2023.pdf
Jalisco,Sep,23.7,01/09/2023,2023.pdf
Estado de México,Sep,16.6,01/09/2023,2023.pdf
Michoacán,Sep,21.9,01/09/2023,2023.pdf
Morelos,Sep,23.7,01/09/2023,2023.pdf
Nayarit,Sep,28.9,01/09/2023,2023.pdf
Nuevo León,Sep,29.2,01/09/2023,2023.pdf
Oaxaca,Sep,26.3,01/09/2023,2023.pdf
Puebla,Sep,20.1,01/09/2023,2023.pdf
Querétaro,Sep,22.5,01/09/2023,2023.pdf
Quintana Roo,Sep,29.4,01/09/2023,2023.pdf
San Luis Potosí,Sep,28.2,01/09/2023,2023.pdf
Sinaloa,Sep,31.8,01/09/2023,2023.pdf
Sonora,Sep,30.2,01/09/2023,2023.pdf
Tabasco,Sep,29.3,01/09/2023,2023.pdf
Tamaulipas,Sep,31,01/09/2023,2023.pdf
Tlaxcala,Sep,17.3,01/09/2023,2023.pdf
Veracruz,Sep,25.6,01/09/2023,2023.pdf
Yucatán,Sep,29.4,01/09/2023,2023.pdf
Zacatecas,Sep,22.2,01/09/2023,2023.pdf
Nacional,Sep,26.4,01/09/2023,2023.pdf
Aguascalientes,Oct,18.3,01/10/2023,2023.pdf
Baja California,Oct,22,01/10/2023,2023.pdf
Baja California Sur,Oct,26.3,01/10/2023,2023.pdf
Campeche,Oct,28.6,01/10/2023,2023.pdf
Coahuila,Oct,23.2,01/10/2023,2023.pdf
Colima,Oct,27.9,01/10/2023,2023.pdf
Chiapas,Oct,26.1,01/10/2023,2023.pdf
Chihuahua,Oct,20,01/10/2023,2023.pdf
Ciudad de México,Oct,18.5,01/10/2023,2023.pdf
Durango,Oct,19.5,01/10/2023,2023.pdf
Guanajuato,Oct,20,01/10/2023,2023.pdf
Guerrero,Oct,25.7,01/10/2023,2023.pdf
Hidalgo,Oct,20.6,01/10/2023,2023.pdf
Jalisco,Oct,21.8,01/10/2023,2023.pdf
Estado de México,Oct,15.8,01/10/2023,2023.pdf
Michoacán,Oct,20.9,01/10/2023,2023.pdf
Morelos,Oct,23.1,01/10/2023,2023.pdf
Nayarit,Oct,27.1,01/10/2023,2023.pdf
Nuevo León,Oct,24.1,01/10/2023,2023.pdf
Oaxaca,Oct,25.2,01/10/2023,2023.pdf
Puebla,Oct,19.4,01/10/2023,2023.pdf
Querétaro,Oct,20.2,01/10/2023,2023.pdf
Quintana Roo,Oct,28.7,01/10/2023,2023.pdf
San Luis Potosí,Oct,24,01/10/2023,2023.pdf
Sinaloa,Oct,28.3,01/10/2023,2023.pdf
Sonora,Oct,26.3,01/10/2023,2023.pdf
Tabasco,Oct,28.6,01/10/2023,2023.pdf
Tamaulipas,Oct,26.4,01/10/2023,2023.pdf
Tlaxcala,Oct,16.7,01/10/2023,2023.pdf
Veracruz,Oct,23.8,01/10/2023,2023.pdf
Yucatán,Oct,28.4,01/10/2023,2023.pdf
Zacatecas,Oct,19.3,01/10/2023,2023.pdf
Nacional,Oct,23.6,01/10/2023,2023.pdf
Aguascalientes,Nov,16.2,01/11/2023,2023.pdf
Baja California,Nov,17.4,01/11/2023,2023.pdf
Baja California Sur,Nov,23.2,01/11/2023,2023.pdf
Campeche,Nov,26.5,01/11/2023,2023.pdf
Coahuila,Nov,16.9,01/11/2023,2023.pdf
Colima,Nov,28,01/11/2023,2023.pdf
Chiapas,Nov,24.9,01/11/2023,2023.pdf
Chihuahua,Nov,14.3,01/11/2023,2023.pdf
Ciudad de México,Nov,17.3,01/11/2023,2023.pdf
Durango,Nov,15.9,01/11/2023,2023.pdf
Guanajuato,Nov,17.8,01/11/2023,2023.pdf
Guerrero,Nov,25.7,01/11/2023,2023.pdf
Hidalgo,Nov,17.4,01/11/2023,2023.pdf
Jalisco,Nov,20.5,01/11/2023,2023.pdf
Estado de México,Nov,14.5,01/11/2023,2023.pdf
Michoacán,Nov,20.1,01/11/2023,2023.pdf
Morelos,Nov,22.1,01/11/2023,2023.pdf
Nayarit,Nov,26.2,01/11/2023,2023.pdf
Nuevo León,Nov,18.1,01/11/2023,2023.pdf
Oaxaca,Nov,22.9,01/11/2023,2023.pdf
Puebla,Nov,17.7,01/11/2023,2023.pdf
Querétaro,Nov,18.2,01/11/2023,2023.pdf
Quintana Roo,Nov,26.8,01/11/2023,2023.pdf
San Luis Potosí,Nov,20.3,01/11/2023,2023.pdf
Sinaloa,Nov,25.3,01/11/2023,2023.pdf
Sonora,Nov,20.9,01/11/2023,2023.pdf
Tabasco,Nov,25.8,01/11/2023,2023.pdf
Tamaulipas,Nov,20.6,01/11/2023,2023.pdf
Tlaxcala,Nov,15.3,01/11/2023,2023.pdf
Veracruz,Nov,20.6,01/11/2023,2023.pdf
Yucatán,Nov,26.3,01/11/2023,2023.pdf
Zacatecas,Nov,16.4,01/11/2023,2023.pdf
Nacional,Nov,19.9,01/11/2023,2023.pdf
Aguascalientes,Dic,12.5,01/12/2023,2023.pdf
Baja California,Dic,14.8,01/12/2023,2023.pdf
Baja California Sur,Dic,19.9,01/12/2023,2023.pdf
Campeche,Dic,24.7,01/12/2023,2023.pdf
Coahuila,Dic,14.6,01/12/2023,2023.pdf
Colima,Dic,25.7,01/12/2023,2023.pdf
Chiapas,Dic,23.2,01/12/2023,2023.pdf
Chihuahua,Dic,10.5,01/12/2023,2023.pdf
Ciudad de México,Dic,14.9,01/12/2023,2023.pdf
Durango,Dic,12.8,01/12/2023,2023.pdf
Guanajuato,Dic,14.4,01/12/2023,2023.pdf
Guerrero,Dic,23.9,01/12/2023,2023.pdf
Hidalgo,Dic,14.7,01/12/2023,2023.pdf
Jalisco,Dic,17.1,01/12/2023,2023.pdf
Estado de México,Dic,12.1,01/12/2023,2023.pdf
Michoacán,Dic,17.6,01/12/2023,2023.pdf
Morelos,Dic,19.8,01/12/2023,2023.pdf
Nayarit,Dic,22.4,01/12/2023,2023.pdf
Nuevo León,Dic,15.6,01/12/2023,2023.pdf
Oaxaca,Dic,20.3,01/12/2023,2023.pdf
Puebla,Dic,15.4,01/12/2023,2023.pdf
Querétaro,Dic,14,01/12/2023,2023.pdf
Quintana Roo,Dic,24.9,01/12/2023,2023.pdf
San Luis Potosí,Dic,17.4,01/12/2023,2023.pdf
Sinaloa,Dic,22.2,01/12/2023,2023.pdf
Sonora,Dic,16.4,01/12/2023,2023.pdf
Tabasco,Dic,24.7,01/12/2023,2023.pdf
Tamaulipas,Dic,18.5,01/12/2023,2023.pdf
Tlaxcala,Dic,12.6,01/12/2023,2023.pdf
Veracruz,Dic,19.2,01/12/2023,2023.pdf
Yucatán,Dic,24,01/12/2023,2023.pdf
Zacatecas,Dic,12.6,01/12/2023,2023.pdf
Nacional,Dic,17,01/12/2023,2023.pdf
Aguascalientes,Ene,13.7,01/01/2024,2024.pdf
Baja California,Ene,12.8,01/01/2024,2024.pdf
Baja California Sur,Ene,18,01/01/2024,2024.pdf
Campeche,Ene,25.5,01/01/2024,2024.pdf
Coahuila,Ene,12.8,01/01/2024,2024.pdf
Colima,Ene,25.3,01/01/2024,2024.pdf
Chiapas,Ene,24.4,01/01/2024,2024.pdf
Chihuahua,Ene,9.8,01/01/2024,2024.pdf
Ciudad de México,Ene,16.4,01/01/2024,2024.pdf
Durango,Ene,12.8,01/01/2024,2024.pdf
Guanajuato,Ene,15.7,01/01/2024,2024.pdf
Guerrero,Ene,24.2,01/01/2024,2024.pdf
Hidalgo,Ene,16.5,01/01/2024,2024.pdf
Jalisco,Ene,17.4,01/01/2024,2024.pdf
Estado de México,Ene,12.9,01/01/2024,2024.pdf
Michoacán,Ene,17.6,01/01/2024,2024.pdf
Morelos,Ene,20.4,01/01/2024,2024.pdf
Nayarit,Ene,20.4,01/01/2024,2024.pdf
Nuevo León,Ene,14.4,01/01/2024,2024.pdf
Oaxaca,Ene,22.2,01/01/2024,2024.pdf
Puebla,Ene,16.5,01/01/2024,2024.pdf
Querétaro,Ene,16.8,01/01/2024,2024.pdf
Quintana Roo,Ene,25.8,01/01/2024,2024.pdf
San Luis Potosí,Ene,18.2,01/01/2024,2024.pdf
Sinaloa,Ene,19.7,01/01/2024,2024.pdf
Sonora,Ene,14.4,01/01/2024,2024.pdf
Tabasco,Ene,25.3,01/01/2024,2024.pdf
Tamaulipas,Ene,17.2,01/01/2024,2024.pdf
Tlaxcala,Ene,13.3,01/01/2024,2024.pdf
Veracruz,Ene,19.6,01/01/2024,2024.pdf
Yucatán,Ene,24.7,01/01/2024,2024.pdf
Zacatecas,Ene,13.7,01/01/2024,2024.pdf
Nacional,Ene,16.6,01/01/2024,2024.pdf
Aguascalientes,Feb,14.5,01/02/2024,2024.pdf
Baja California,Feb,13.6,01/02/2024,2024.pdf
Baja California Sur,Feb,18.7,01/02/2024,2024.pdf
Campeche,Feb,24.3,01/02/2024,2024.pdf
Coahuila,Feb,17.6,01/02/2024,2024.pdf
Colima,Feb,25,01/02/2024,2024.pdf
Chiapas,Feb,23.9,01/02/2024,2024.pdf
Chihuahua,Feb,12.6,01/02/2024,2024.pdf
Ciudad de México,Feb,17.4,01/02/2024,2024.pdf
Durango,Feb,14.6,01/02/2024,2024.pdf
Guanajuato,Feb,17.4,01/02/2024,2024.pdf
Guerrero,Feb,24.9,01/02/2024,2024.pdf
Hidalgo,Feb,18,01/02/2024,2024.pdf
Jalisco,Feb,18.9,01/02/2024,2024.pdf
Estado de México,Feb,13.9,01/02/2024,2024.pdf
Michoacán,Feb,19.1,01/02/2024,2024.pdf
Morelos,Feb,22,01/02/2024,2024.pdf
Nayarit,Feb,21.9,01/02/2024,2024.pdf
Nuevo León,Feb,18.4,01/02/2024,2024.pdf
Oaxaca,Feb,22.6,01/02/2024,2024.pdf
Puebla,Feb,17.5,01/02/2024,2024.pdf
Querétaro,Feb,18.6,01/02/2024,2024.pdf
Quintana Roo,Feb,24.5,01/02/2024,2024.pdf
San Luis Potosí,Feb,20.6,01/02/2024,2024.pdf
Sinaloa,Feb,20.7,01/02/2024,2024.pdf
Sonora,Feb,16.3,01/02/2024,2024.pdf
Tabasco,Feb,24.6,01/02/2024,2024.pdf
Tamaulipas,Feb,20.9,01/02/2024,2024.pdf
Tlaxcala,Feb,14.3,01/02/2024,2024.pdf
Veracruz,Feb,20.2,01/02/2024,2024.pdf
Yucatán,Feb,23.3,01/02/2024,2024.pdf
Zacatecas,Feb,15.2,01/02/2024,2024.pdf
Nacional,Feb,18.3,01/02/2024,2024.pdf
Aguascalientes,Mar,17.8,01/03/2024,2024.pdf
Baja California,Mar,14.8,01/03/2024,2024.pdf
Baja California Sur,Mar,19.7,01/03/2024,2024.pdf
Campeche,Mar,29.2,01/03/2024,2024.pdf
Coahuila,Mar,20.5,01/03/2024,2024.pdf
Colima,Mar,24.6,01/03/2024,2024.pdf
Chiapas,Mar,27.2,01/03/2024,2024.pdf
Chihuahua,Mar,14.9,01/03/2024,2024.pdf
Ciudad de México,Mar,20.3,01/03/2024,2024.pdf
Durango,Mar,16.7,01/03/2024,2024.pdf
Guanajuato,Mar,19.9,01/03/2024,2024.pdf
Guerrero,Mar,26,01/03/2024,2024.pdf
Hidalgo,Mar,21.2,01/03/2024,2024.pdf
Jalisco,Mar,20.7,01/03/2024,2024.pdf
Estado de México,Mar,16.4,01/03/2024,2024.pdf
Michoacán,Mar,20.5,01/03/2024,2024.pdf
Morelos,Mar,24.3,01/03/2024,2024.pdf
Nayarit,Mar,22.1,01/03/2024,2024.pdf
Nuevo León,Mar,21.4,01/03/2024,2024.pdf
Oaxaca,Mar,25,01/03/2024,2024.pdf
Puebla,Mar,20.3,01/03/2024,2024.pdf
Querétaro,Mar,21.7,01/03/2024,2024.pdf
Quintana Roo,Mar,28.2,01/03/2024,2024.pdf
San Luis Potosí,Mar,24.9,01/03/2024,2024.pdf
Sinaloa,Mar,21.7,01/03/2024,2024.pdf
Sonora,Mar,17.4,01/03/2024,2024.pdf
Tabasco,Mar,29.1,01/03/2024,2024.pdf
Tamaulipas,Mar,24.4,01/03/2024,2024.pdf
Tlaxcala,Mar,17.2,01/03/2024,2024.pdf
Veracruz,Mar,24,01/03/2024,2024.pdf
Yucatán,Mar,28.7,01/03/2024,2024.pdf
Zacatecas,Mar,17.2,01/03/2024,2024.pdf
Nacional,Mar,20.7,01/03/2024,2024.pdf
Aguascalientes,Abr,20.4,01/04/2024,2024.pdf
Baja California,Abr,16.8,01/04/2024,2024.pdf
Baja California Sur,Abr,21.3,01/04/2024,2024.pdf
Campeche,Abr,30.6,01/04/2024,2024.pdf
Coahuila,Abr,24.7,01/04/2024,2024.pdf
Colima,Abr,25.7,01/04/2024,2024.pdf
Chiapas,Abr,28.3,01/04/2024,2024.pdf
Chihuahua,Abr,18.6,01/04/2024,2024.pdf
Ciudad de México,Abr,21,01/04/2024,2024.pdf
Durango,Abr,20.2,01/04/2024,2024.pdf
Guanajuato,Abr,22.3,01/04/2024,2024.pdf
Guerrero,Abr,27.6,01/04/2024,2024.pdf
Hidalgo,Abr,21.9,01/04/2024,2024.pdf
Jalisco,Abr,22.7,01/04/2024,2024.pdf
Estado de México,Abr,17.7,01/04/2024,2024.pdf
Michoacán,Abr,22.8,01/04/2024,2024.pdf
Morelos,Abr,26.1,01/04/2024,2024.pdf
Nayarit,Abr,23.8,01/04/2024,2024.pdf
Nuevo León,Abr,25,01/04/2024,2024.pdf
Oaxaca,Abr,26.5,01/04/2024,2024.pdf
Puebla,Abr,21.4,01/04/2024,2024.pdf
Querétaro,Abr,23.3,01/04/2024,2024.pdf
Quintana Roo,Abr,28.3,01/04/2024,2024.pdf
San Luis Potosí,Abr,26.9,01/04/2024,2024.pdf
Sinaloa,Abr,24.2,01/04/2024,2024.pdf
Sonora,Abr,20.5,01/04/2024,2024.pdf
Tabasco,Abr,30.3,01/04/2024,2024.pdf
Tamaulipas,Abr,27.1,01/04/2024,2024.pdf
Tlaxcala,Abr,18.3,01/04/2024,2024.pdf
Veracruz,Abr,25.5,01/04/2024,2024.pdf
Yucatán,Abr,29.6,01/04/2024,2024.pdf
Zacatecas,Abr,20.2,01/04/2024,2024.pdf
Nacional,Abr,23.2,01/04/2024,2024.pdf
Aguascalientes,May,24.8,01/05/2024,2024.pdf
Baja California,May,19.7,01/05/2024,2024.pdf
Baja California Sur,May,24.4,01/05/2024,2024.pdf
Campeche,May,33.4,01/05/2024,2024.pdf
Coahuila,May,29.9,01/05/2024,2024.pdf
Colima,May,26.8,01/05/2024,2024.pdf
Chiapas,May,29.8,01/05/2024,2024.pdf
Chihuahua,May,23.8,01/05/2024,2024.pdf
Ciudad de México,May,23.6,01/05/2024,2024.pdf
Durango,May,24.3,01/05/2024,2024.pdf
Guanajuato,May,26,01/05/2024,2024.pdf
Guerrero,May,28.9,01/05/2024,2024.pdf
Hidalgo,May,26.2,01/05/2024,2024.pdf
Jalisco,May,25.7,01/05/2024,2024.pdf
Estado de México,May,20.5,01/05/2024,2024.pdf
Michoacán,May,25.3,01/05/2024,2024.pdf
Morelos,May,28.3,01/05/2024,2024.pdf
Nayarit,May,26.5,01/05/2024,2024.pdf
Nuevo León,May,30.1,01/05/2024,2024.pdf
Oaxaca,May,28.5,01/05/2024,2024.pdf
Puebla,May,24.4,01/05/2024,2024.pdf
Querétaro,May,27.8,01/05/2024,2024.pdf
Quintana Roo,May,30.8,01/05/2024,2024.pdf
San Luis Potosí,May,32,01/05/2024,2024.pdf
Sinaloa,May,27.7,01/05/2024,2024.pdf
Sonora,May,24.4,01/05/2024,2024.pdf
Tabasco,May,33.1,01/05/2024,2024.pdf
Tamaulipas,May,32,01/05/2024,2024.pdf
Tlaxcala,May,20.5,01/05/2024,2024.pdf
Veracruz,May,29.7,01/05/2024,2024.pdf
Yucatán,May,32.9,01/05/2024,2024.pdf
Zacatecas,May,24.7,01/05/2024,2024.pdf
Nacional,May,27,01/05/2024,2024.pdf
Aguascalientes,Jun,23.3,01/06/2024,2024.pdf
Baja California,Jun,24.4,01/06/2024,2024.pdf
Baja California Sur,Jun,26,01/06/2024,2024.pdf
Campeche,Jun,30.3,01/06/2024,2024.pdf
Coahuila,Jun,21.1,01/06/2024,2024.pdf
Colima,Jun,28.1,01/06/2024,2024.pdf
Chiapas,Jun,27.3,01/06/2024,2024.pdf
Chihuahua,Jun,30,01/06/2024,2024.pdf
Ciudad de México,Jun,27.5,01/06/2024,2024.pdf
Durango,Jun,24.8,01/06/2024,2024.pdf
Guanajuato,Jun,28,01/06/2024,2024.pdf
Guerrero,Jun,23.7,01/06/2024,2024.pdf
Hidalgo,Jun,22.9,01/06/2024,2024.pdf
Jalisco,Jun,25.8,01/06/2024,2024.pdf
Estado de México,Jun,18.3,01/06/2024,2024.pdf
Michoacán,Jun,24.3,01/06/2024,2024.pdf
Morelos,Jun,26.3,01/06/2024,2024.pdf
Nayarit,Jun,28.1,01/06/2024,2024.pdf
Nuevo León,Jun,29.2,01/06/2024,2024.pdf
Oaxaca,Jun,26.6,01/06/2024,2024.pdf
Puebla,Jun,21.8,01/06/2024,2024.pdf
Querétaro,Jun,24.7,01/06/2024,2024.pdf
Quintana Roo,Jun,29.8,01/06/2024,2024.pdf
San Luis Potosí,Jun,30.9,01/06/2024,2024.pdf
Sinaloa,Jun,29.5,01/06/2024,2024.pdf
Sonora,Jun,30.2,01/06/2024,2024.pdf
Tabasco,Jun,30.4,01/06/2024,2024.pdf
Tamaulipas,Jun,31.2,01/06/2024,2024.pdf
Tlaxcala,Jun,18.4,01/06/2024,2024.pdf
Veracruz,Jun,27.4,01/06/2024,2024.pdf
Yucatán,Jun,30.2,01/06/2024,2024.pdf
Zacatecas,Jun,24.3,01/06/2024,2024.pdf
Nacional,Jun,27.6,01/06/2024,2024.pdf
Aguascalientes,Jul,20.3,01/07/2024,2024.pdf
Baja California,Jul,27.7,01/07/2024,2024.pdf
Baja California Sur,Jul,28.9,01/07/2024,2024.pdf
Campeche,Jul,29.6,01/07/2024,2024.pdf
Coahuila,Jul,28.3,01/07/2024,2024.pdf
Colima,Jul,28.5,01/07/2024,2024.pdf
Chiapas,Jul,26.7,01/07/2024,2024.pdf
