horizonte,modelo,insumo_id,mae_pp,n,excluidas
1,participacion_ewm,tegral_satin_creme_cake_sabor_no_especificado,1.522039253968094,14,12
1,participacion_ewm,tegral_satin_red_velvet,5.593314584976395,14,12
1,participacion_ewm,tegral_satin_vainilla,9.241625909417362,14,12
1,participacion_ewm,transfer_hoja_de_arroz_gruesa,2.3605529226237567,14,12
1,participacion_ewm,transfer_sin_especificacion,0.0008985001713648014,14,12
1,participacion_historica,ac_au800,0.43413611186561785,14,12
1,participacion_historica,aceite_sin_especificacion,0.9750420545975288,14,12
1,participacion_historica,alpezzi_blanco,0.14056356241769496,14,12
1,participacion_historica,azucar_glass,0.27918446296533006,14,12
1,participacion_historica,bailey_s,0.5034336335216573,14,12
1,participacion_historica,base_28_cm,0.46799826413316936,14,12
1,participacion_historica,base_36_cm_doble,0.1330758964908148,14,12
1,participacion_historica,bisagra_12_cupcakes,0.26049178586934846,14,12
1,participacion_historica,botellas_jack_daniels,0.06513869345044128,14,12
1,participacion_historica,caja_cupcake_12,0.5131338898961749,14,12
1,participacion_historica,caja_cupcake_6,1.4746753357471387,14,12
1,participacion_historica,caja_cupcake_sin_capacidad,0.958750520682864,14,12
1,participacion_historica,caja_de_carton_para_cupcake_6_pz,0.7528065760727409,14,12
1,participacion_historica,capacillo_floreado_alegria,0.08275423873389842,14,12
1,participacion_historica,capacillos,3.502945309889981,14,12
1,participacion_historica,carlos_v_stick,0.24601458252020159,14,12
1,participacion_historica,cereza_con_rabo_diana,0.14830277281278118,14,12
1,participacion_historica,chantilly_asturias,2.5804114193612953,14,12
1,participacion_historica,chantilly_dulce,2.8748130819536972,14,12
1,participacion_historica,chantilly_dull,1.4710516039584702,14,12
1,participacion_historica,chantilly_sin_especificacion,5.132812440884327,14,12
1,participacion_historica,charola_galletera_alta_grande,0.1668886379643071,14,12
1,participacion_historica,chips_blanco_alpezzi,7.51907089712104,14,12
1,participacion_historica,chips_chocolate_con_l,0.2756974869627734,14,12
1,participacion_historica,chips_chocolate_semi,0.6578231735519259,14,12
1,participacion_historica,chips_rojo_alpezzi,0.8313037530013302,14,12
1,participacion_historica,chocolate_sin_especificacion,0.4018935224833661,14,12
1,participacion_historica,colorantes_9_colores,0.19531337550310274,14,12
1,participacion_historica,confitier_semiamargo_turin,5.935755224566046,14,12
1,participacion_historica,contenedor_mantecadas_inix_25_pz,2.8834763013238507,14,12
1,participacion_historica,crema_batir_ambiente_1_l,11.337368257071388,14,12
1,participacion_historica,deiman_plumones_magicos,0.30977761155439765,14,12
1,participacion_historica,dlr_malvavisco_chocolate_32_pz,0.17962027243072892,14,12
1,participacion_historica,domo_1_4_plancha,0.5566072257864119,14,12
1,participacion_historica,domo_cupcake_12,1.5170471174099416,14,12
1,participacion_historica,domo_cupcake_6,0.2428139104604455,14,12
1,participacion_historica,domo_cupcake_sin_capacidad,0.4467334745562662,14,12
1,participacion_historica,domo_media_plancha_inix,1.5611957389664464,14,12
1,participacion_historica,easy_pastel_tres_leches_sabor_no_especificado,2.9289586353199266,14,12
1,participacion_historica,empaque_30_x_30_x_30,0.13816415856736589,14,12
1,participacion_historica,empaque_31_x_31_x_20,0.0946680345739359,14,12
1,participacion_historica,empaque_32_x_32_x_30,0.14839854068346708,14,12
1,participacion_historica,ferrero_rocher_t16,0.5120042407717724,14,12
1,participacion_historica,ferrero_sin_especificacion,1.0481360370394532,14,12
1,participacion_historica,fondant_nata_coco_blanco,6.286135119225027,14,12
1,participacion_historica,fondant_sin_especificacion,10.900602097857135,14,12
1,participacion_historica,harina_red_velvet_esp,0.22901554982574002,14,12
1,participacion_historica,huevo_blanco_tepa_de_linea,0.16833319224471885,14,12
1,participacion_historica,huevo_calvario,0.4804829452664328,14,12
1,participacion_historica,huevo_san_juan,0.6701591922371458,14,12
1,participacion_historica,huevo_sin_especificacion,3.192264409158398,14,12
1,participacion_historica,inix_contenedor_mantecadas,0.14782532223504935,14,12
1,participacion_historica,kisses_leche,0.4815181131921286,14,12
1,participacion_historica,kisses_leche_choc_bl_807_gr,0.2993341929611538,14,12
1,participacion_historica,kit_kat_9_pz,0.30711685089659324,14,12
1,participacion_historica,mangas,0.3589443371341813,14,12
1,participacion_historica,mantequilla_gloria_22,0.1605208570600836,14,12
1,participacion_historica,mantequilla_gloria_presentacion_no_especificada,8.557086577224368,14,12
1,participacion_historica,mantequilla_gloria_verde,2.9915271709939524,14,12
1,participacion_historica,matizador,0.6188542795622258,14,12
1,participacion_historica,nutella,4.9652282677746795,14,12
1,participacion_historica,oblea_arroz,0.8138191241005747,14,12
1,participacion_historica,oreo_273_6,0.30656856484745976,14,12
1,participacion_historica,otros,13.802987628954138,14,12
1,participacion_historica,pegamento_fondant,0.5670573621726851,14,12
1,participacion_historica,perlas_sin_especificacion,0.4965456862115899,14,12
1,participacion_historica,queso_crema_suelto,0.17804615985054803,14,12
1,participacion_historica,queso_philadelphia,3.3388205961900965,14,12
1,participacion_historica,red_velvet,0.22818044593193676,14,12
1,participacion_historica,relleno_durazno_puratos,0.4434499413249475,14,12
1,participacion_historica,relleno_fresa_frutifru,0.22994247458731726,14,12
1,participacion_historica,relleno_queso_creme_p,0.1423279841643358,14,12
1,participacion_historica,relleno_zarzamora_fruitfil_puratos,2.0723322285031065,14,12
1,participacion_historica,relleno_zarzamora_puratos,0.6178913941093315,14,12
1,participacion_historica,royal_icing_deiman_50_sin_unidad,0.2915097100542331,14,12
1,participacion_historica,royal_icing_sin_especificacion,0.15600660336411756,14,12
1,participacion_historica,sabrosano,0.41699588496121187,14,12
1,participacion_historica,tegral_satin_chocolate,5.6357938031444945,14,12
1,participacion_historica,tegral_satin_creme_cake_sabor_no_especificado,2.7505342608390326,14,12
1,participacion_historica,tegral_satin_red_velvet,4.392006345984232,14,12
1,participacion_historica,tegral_satin_vainilla,7.001483415001147,14,12
1,participacion_historica,transfer_hoja_de_arroz_gruesa,1.6881877837665848,14,12
1,participacion_historica,transfer_sin_especificacion,5.090586575311728,14,12
2,participacion_ewm,ac_au800,6.051380226721227e-07,14,11
2,participacion_ewm,aceite_sin_especificacion,3.0403498321012654e-09,14,11
2,participacion_ewm,alpezzi_blanco,0.0027555312910813386,14,11
2,participacion_ewm,azucar_glass,0.00660002187622729,14,11
2,participacion_ewm,bailey_s,0.06380183492550213,14,11
2,participacion_ewm,base_28_cm,0.00011292763705970247,14,11
2,participacion_ewm,base_36_cm_doble,5.254442061164619e-06,14,11
2,participacion_ewm,bisagra_12_cupcakes,0.007528185764565475,14,11
2,participacion_ewm,botellas_jack_daniels,0.0019820844107406223,14,11
2,participacion_ewm,caja_cupcake_12,2.2988117342935866e-07,14,11
2,participacion_ewm,caja_cupcake_6,0.9670590854755305,14,11
2,participacion_ewm,caja_cupcake_sin_capacidad,1.0631470126103996e-11,14,11
2,participacion_ewm,caja_de_carton_para_cupcake_6_pz,2.7071703685687928e-14,14,11
2,participacion_ewm,capacillo_floreado_alegria,0.043680643759393255,14,11
2,participacion_ewm,capacillos,1.5152780299482989,14,11
2,participacion_ewm,carlos_v_stick,0.0015435137083676044,14,11
2,participacion_ewm,cereza_con_rabo_diana,0.0009631083774613086,14,11
2,participacion_ewm,chantilly_asturias,2.2087807857930533,14,11
2,participacion_ewm,chantilly_dulce,2.830603839804714,14,11
2,participacion_ewm,chantilly_dull,3.748010530572349e-07,14,11
2,participacion_ewm,chantilly_sin_especificacion,1.0274711112983021e-08,14,11
2,participacion_ewm,charola_galletera_alta_grande,1.5280629034333464,14,11
2,participacion_ewm,chips_blanco_alpezzi,9.803264947508112,14,11
2,participacion_ewm,chips_chocolate_con_l,8.854199011368233e-07,14,11
2,participacion_ewm,chips_chocolate_semi,0.002242388115889726,14,11
2,participacion_ewm,chips_rojo_alpezzi,1.28676922422512,14,11
2,participacion_ewm,chocolate_sin_especificacion,4.806662779084555e-06,14,11
2,participacion_ewm,colorantes_9_colores,2.251367999405186e-08,14,11
2,participacion_ewm,confitier_semiamargo_turin,8.667462782928055,14,11
2,participacion_ewm,contenedor_mantecadas_inix_25_pz,3.6011330982312217,14,11
2,participacion_ewm,crema_batir_ambiente_1_l,12.199141653842219,14,11
2,participacion_ewm,deiman_plumones_magicos,6.421944244449727e-16,14,11
