2026-08-06 22:13:00,973 | INFO | Etapas solicitadas: limpieza, ingenieria, perfil, multicolinealidad, seleccion, pca, modelos, rnn
2026-08-06 22:13:00,973 | INFO | INICIO | limpieza | general
2026-08-06 22:13:06,543 | INFO | FIN CORRECTO | limpieza | general
2026-08-06 22:13:06,564 | INFO | INICIO | ingenieria | general
2026-08-06 22:13:14,719 | INFO | FIN CORRECTO | ingenieria | general
2026-08-06 22:13:14,743 | INFO | INICIO | perfil | general
2026-08-06 22:13:18,407 | INFO | FIN CORRECTO | perfil | general
2026-08-06 22:13:18,407 | INFO | INICIO | multicolinealidad | general
2026-08-06 22:13:27,794 | INFO | FIN CORRECTO | multicolinealidad | general
2026-08-06 22:13:27,798 | INFO | INICIO | seleccion | reducido
