insumo,importe,acumulado_pct
relleno_de_baileys,95.0,86.44057455434815
cream_cheese_filling_puratos,93.0,86.58350157995837
domo_era_2416_10m,90.0,86.72181805635535
easy_pastel_tres_leches_vainilla,90.0,86.86013453275234
base_28_cm_doble,90.0,86.99845100914932
calahua_co,85.5,87.12985166172645
huevo_blanco_los_altos_kilo,85.36,87.26103715534032
color_azul_brillante_enco,84.0,87.39013253331083
huevo_aurrera,83.0,87.5176910615436
perlas_y_granillo_diamantado_ma_b,80.0,87.64063904056314
au_huevo_1,79.0,87.76205016984494
alegria_capacillo_polka_negro_100_pz,78.3,87.88238550431032
caja_cupcake_2_cav,78.0,88.00225978385437
capacillo_no_4_decorado_50_pz,77.94,88.12204185241417
caja_acetato,76.0,88.23884243248273
alegria_capacillo_morado_100_pz,75.16,88.3543520587716
royal_icing_enco,75.0,88.46961578910242
confitier_blanco_turin,75.0,88.58487951943324
aceite_aurrera_800,74.0,88.69860640002632
color_liquido_surtido,72.0,88.8092595811439
hue1pzsan,72.0,88.9199127622615
turin_semiamargo,71.5,89.02979751851021
oreo_vainilla,71.5,89.13968227475893
relleno_coco,70.0,89.24726175640103
ferrero_rocher_t_10,69.63,89.35427260364015
margarina_245_g,69.5,89.4610836604134
base_33x33,69.5,89.56789471718662
huevo_blanco_tepa_kilo,69.08,89.67406029706999
oreo_charo,69.0,89.78010292897434
capacillo_alegria_golosinas,66.72999999999999,89.88265691197402
inix_contenedor_ham_trans_14_x_14_25_pz,66.6,89.98501110450779
galleta_oreo,66.5,90.08721161206779
granillo_turin_semiamargo,66.5,90.18941211962778
confiter_semi_amargo,66.0,90.2908442023189
puratos_tres_leches_vainilla,65.5,90.39150786014115
carlos_v_8_pz,65.0,90.49140309309453
h_vainilla_3l,65.0,90.5912983260479
kisses_plateados,64.0,90.68965670926355
puratos_vainilla,62.5,90.78570981787256
puratos_chocolate,62.5,90.88176292648158
ambiante,62.5,90.9778160350906
lechera_suelta,62.0,91.07310071883073
