semana_inicio,ventas_registradas,captura_observada
2021-05-03,690.0,True
2021-05-10,230.0,True
2021-05-17,440.0,True
2021-05-24,690.0,True
2021-05-31,140.0,True
2021-06-07,230.0,True
2021-06-14,1160.0,True
2021-06-21,1190.0,True
2021-06-28,700.0,True
2021-07-05,230.0,True
2021-07-12,3050.0,True
2021-07-19,230.0,True
2021-07-26,1050.0,True
2021-08-02,2023.8285714285716,True
2021-08-09,2023.8285714285716,True
2021-08-16,800.0,True
2021-08-23,985.0,True
2021-08-30,2023.8285714285716,True
2021-09-06,2805.0,True
2021-09-13,1350.0,True
2021-09-20,930.0,True
2021-09-27,1800.0,True
2021-10-04,530.0,True
2021-10-11,410.0,True
2021-10-18,630.0,True
2021-10-25,890.0,True
2021-11-01,340.0,True
2021-11-08,1535.0,True
2021-11-15,2740.0,True
2021-11-22,1710.0,True
2021-11-29,3320.0,True
2021-12-06,3300.0,True
2021-12-13,420.0,True
2021-12-20,710.0,True
2021-12-27,1690.0,True
2022-01-03,2790.0,True
2022-01-10,640.0,True
2022-01-17,510.0,True
2022-01-24,700.0,True
2022-01-31,460.0,True
2022-02-07,4300.0,True
2022-02-14,260.0,True
2022-02-21,370.0,True
2022-02-28,890.0,True
2022-03-07,2023.8285714285716,True
2022-03-14,1010.0,True
2022-03-21,2023.8285714285716,True
2022-03-28,840.0,True
2022-04-04,500.0,True
2022-04-11,2023.8285714285716,True
2022-04-18,1330.0,True
2022-04-25,1170.0,True
2022-05-02,860.0,True
2022-05-09,3685.0,True
2022-05-16,500.0,True
2022-05-23,2023.8285714285716,True
2022-05-30,2090.0,True
2022-06-06,340.0,True
2022-06-13,1660.0,True
2022-06-20,430.0,True
2022-06-27,1330.0,True
2022-07-04,2023.8285714285716,True
2022-07-11,1500.0,True
2022-07-18,1690.0,True
2022-07-25,1800.0,True
2022-08-01,2023.8285714285716,True
2022-08-08,2023.8285714285716,True
2022-08-15,560.0,True
2022-08-22,310.0,True
2022-08-29,1080.0,True
2022-09-05,1110.0,True
2022-09-12,2023.8285714285716,True
2022-09-19,2023.8285714285716,True
2022-09-26,2023.8285714285716,True
2022-10-03,260.0,True
2022-10-10,2023.8285714285716,True
2022-10-17,7371.0,True
2022-10-24,580.0,True
2022-10-31,2023.8285714285716,True
2022-11-07,3200.0,True
2022-11-14,2023.8285714285716,True
2022-11-21,1440.0,True
2022-11-28,5300.0,True
2022-12-05,400.0,True
2022-12-12,4330.0,True
2022-12-19,2560.0,True
2022-12-26,2020.0,True
2023-01-02,590.0,True
2023-01-09,1450.0,True
2023-01-16,2310.0,True
2023-01-23,4841.0,True
2023-01-30,400.0,True
2023-02-06,2040.0,True
2023-02-13,2680.0,True
2023-02-20,2023.8285714285716,True
2023-02-27,3930.0,True
2023-03-06,1220.0,True
2023-03-13,2220.0,True
2023-03-20,4900.0,True
2023-03-27,230.0,True
2023-04-03,2580.0,True
2023-04-10,250.0,True
2023-04-17,730.0,True
2023-04-24,4110.0,True
2023-05-01,1495.0,True
2023-05-08,720.0,True
2023-05-15,990.0,True
2023-05-22,5330.0,True
2023-05-29,730.0,True
2023-06-05,440.0,True
2023-06-12,690.0,True
2023-06-19,230.0,True
2023-06-26,2240.0,True
2023-07-03,1760.0,True
2023-07-10,930.0,True
2023-07-17,1080.0,True
2023-07-24,3515.0,True
2023-07-31,7070.0,True
2023-08-07,1920.0,True
2023-08-14,2140.0,True
2023-08-21,1910.0,True
2023-08-28,7530.0,True
2023-09-04,3280.0,True
2023-09-11,590.0,True
2023-09-18,3660.0,True
2023-09-25,400.0,True
2023-10-02,1894.0,True
2023-10-09,3260.0,True
2023-10-16,1515.0,True
2023-10-23,490.0,True
2023-10-30,7620.0,True
2023-11-06,290.0,True
2023-11-13,3800.0,True
2023-11-20,4670.0,True
2023-11-27,2440.0,True
2023-12-04,5755.0,True
2023-12-11,2410.0,True
2023-12-18,1020.0,True
2023-12-25,2500.0,True
2024-01-01,2685.0,True
2024-01-08,2490.0,True
2024-01-15,525.0,True
2024-01-22,1250.0,True
2024-01-29,8325.0,True
2024-02-05,2440.0,True
2024-02-12,3710.0,True
2024-02-19,1360.0,True
2024-02-26,9060.0,True
2024-03-04,2170.0,True
2024-03-11,810.0,True
2024-03-18,880.0,True
2024-03-25,4170.0,True
2024-04-01,940.0,True
2024-04-08,5620.0,True
2024-04-15,2250.0,True
2024-04-22,650.0,True
2024-04-29,14105.0,True
