origen,diferencia_monetaria,diferencia_pp
2022-10-24,-552.2472583463039,2.308819643155982
2022-10-31,-532.0934182522245,1.8852826664966118
2022-11-07,-1334.6615061630782,1.4264485743908448
2022-11-14,174.7098724248129,0.9422672714593328
2022-11-21,602.8108221478317,0.44401826927524524
2022-11-28,1093.9939925341484,-0.06408003773055382
2022-12-05,184.00403923101237,-0.5709492670626176
2022-12-12,-48.00179904719457,-0.5778937563670622
2022-12-19,-418.1714457330653,-0.10249021339741882
2022-12-26,621.0762649628737,0.3746973522399456
2023-01-02,156136.6218248388,
2023-01-09,219988.0206201324,0.846111231573899
2023-01-16,477.8130163716691,1.5684259973662915
