semana_inicio,total
2022-10-17,577.5
2022-10-24,234.5
2022-10-31,80.0
2022-11-07,753.5
2022-11-14,134.5
2022-11-21,236.5
2022-11-28,961.0
2022-12-05,222.0
2022-12-12,552.0
2022-12-19,1472.5
2022-12-26,1343.4
2023-01-02,1223.4
2023-01-09,373.0
2023-01-16,1109.43
2023-01-23,789.0
2023-01-30,427.5
2023-02-06,863.97
2023-02-13,619.0
2023-02-20,163.5
2023-02-27,1171.0
2023-03-06,514.96
2023-03-13,1539.09
2023-03-20,329.47
2023-03-27,1238.0
2023-04-03,168.36
2023-04-10,
2023-04-17,564.5
2023-04-24,239.07999999999998
2023-05-01,1043.8
2023-05-08,
2023-05-15,55.0
2023-05-22,1213.48
2023-05-29,20.0
2023-06-05,213.0
2023-06-12,69.0
2023-06-19,
2023-06-26,562.55
2023-07-03,
2023-07-10,1673.03
2023-07-17,691.0
2023-07-24,711.62
2023-07-31,1695.0
2023-08-07,691.85
2023-08-14,492.0
2023-08-21,521.0
2023-08-28,
2023-09-04,2403.35
2023-09-11,479.0
2023-09-18,347.0
2023-09-25,530.5
2023-10-02,491.0
2023-10-09,964.0
2023-10-16,1932.2
2023-10-23,
2023-10-30,1652.8
2023-11-06,335.0
2023-11-13,655.0
2023-11-20,482.0
2023-11-27,604.25
2023-12-04,2144.42
2023-12-11,916.0
2023-12-18,338.75
2023-12-25,864.0
2024-01-01,
2024-01-08,898.6800000000001
2024-01-15,115.0
2024-01-22,342.0
2024-01-29,
2024-02-05,1221.04
