descripcion_normalizada,insumo_id,aprobado
CARNATION,,False
CELOFAN 12X13,,False
CELOFAN 12X18 SELLO,,False
CELOFAN 6X25 100 PZ,,False
CELOFAN 8X12,,False
CELOFAN 9X12 100 PZ,,False
CELOFAN 9X15,,False
CEREZA CON RABO DIANA,,False
CEREZAS,,False
CHANT DULL,,False
CHANTILLI,,False
CHANTILLI 5,,False
CHANTILLI 5KG,,False
CHANTILLI ASTURIAS,,False
CHANTILLI DULL,,False
CHANTILLY,,False
CHANTILLY 5 KG ASTURIAS,,False
CHANTILLY DULCE,,False
CHAROLA GALLETERA ALTA GRANDE,,False
CHAROLAS,,False
CHIPS AMARILLO ALPEZZI C/500 GR,,False
CHIPS BLANCO ALPEZI C/500 G,,False
CHIPS BLANCO ALPEZZI,,False
CHIPS BLANCO ALPEZZI 500 G,,False
CHIPS BLANCO ALPEZZI C/ 500 G,,False
CHIPS BLANCO ALPEZZI C/500 GR,,False
CHIPS BLANCO APLEZZI C/ 500G,,False
CHIPS CHOCOLATE CON L,,False
CHIPS CHOCOLATE SEMI,,False
CHIPS LINEA HORNEAS A,,False
CHIPS NEGRO ALPEZZI C/500G,,False
CHIPS ROJO ALPEZZI C/,,False
CHIPS ROJO ALPEZZI C/ 500 G,,False
CHIPS ROJO ALPEZZI C/500G,,False
CHIPS ROSA ALPEZZI C/500G,,False
CHIPS SABOR CHOCOLATE SEMIAMARGO,,False
CHOCOLATE,,False
CHOCOLATE BLANCO SICA,,False
CHOCOLATE CARLOS V,,False
CHOCOLATE COVERLUX BLANCO PURATOS,,False
CHOCOLATE HERSHEY'S,,False
CINTA FLORAL,,False
CL CORTA U,,False
COCO RAYADO,,False
COCOA EN POLVO ALPES,,False
COCOA HERSHEY'S C 1KG,,False
COFIA,,False
COLOR AZUL BRILLANTE ENCO,,False
COLOR GEL NEGRO,,False
COLOR HUMEDO,,False
COLOR LIQUIDO SURTIDO,,False
COLOR MORADO ENCO 40G,,False
COLOR NEGRO ENCO 40G,,False
COLOR ROJO ENCO 40G,,False
COLOR ROSA BRILLANTE ENCO 40G,,False
COLORANTE GEL,,False
COMISION COBRO CON TARJEA,,False
CONEJO MEDIANO,,False
CONFETI,,False
CONFITER CHOCOLATE SEMI AMARGO,,False
CONFITER SEMI AMARGO,,False
CONFITERIA,,False
CONFITIER AMARGO 70%,,False
CONFITIER BLANCO TURIN,,False
CONFITIER CHOCOLATE SEMIAMARGO TU,,False
CONFITIER CHOCOLATE SEMIAMARGO TURIN,,False
CONFITIER LECHE TURIN,,False
CONFITIER SEMIAMARGO TURIN,,False
CONTENEDOR,,False
CORAZON CHICO,,False
CORTADOR,,False
CORTADOR DE PASTEL,,False
CORTADORES,,False
"CORTADORES, MOLDES Y DUYAS",,False
CORTAGALLETAS,,False
CORVELUX SEMIAMARGO,,False
CREAM CHEESE FILLING PURATOS,,False
CREMA BATIDA CHANTILLI ASTURIAS,,False
CREMA CACAHUATE SUELTA,,False
CREMA DE COCO,,False
CREMA PARA BATIR AMBIANTE 1 LT,,False
CREMA PARA BATIR AMBIANTE PURATOS,,False
