semana_inicio,HARINA,CHOCOLATE,FONDANT,EMPAQUE,CHANTILLY,RELLENO,DECORACION,AMBIANTE,HUEVO,CAPACILLOS,BASES,DOMO,otros
2023-06-12,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-19,,,,,,,,,,,,,
2023-06-26,0.3146386987823305,0.25873255710603504,0.29508488134388056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13154386276775398
2023-07-03,,,,,,,,,,,,,
2023-07-10,0.1705441697758479,0.21041541765859734,0.0966222941392176,0.020954232463926706,0.08032455777838571,0.11524827855159689,0.0,0.07683218570106459,0.024173035395191004,0.0,0.019790108438153,0.0,0.18509572009801925
2023-07-17,0.07380607814761216,0.03328509406657019,0.2402315484804631,0.11722141823444283,0.09985528219971057,0.07525325615050651,0.0,0.0955137481910275,0.1085383502170767,0.0,0.059334298118668596,0.0,0.09696092619392185
2023-07-24,0.1512348596351459,0.08641991979151195,0.11207583347961707,0.24213781276584254,0.0,0.07291680732408821,0.0,0.0,0.07089134045397465,0.19147413478806868,0.033757781168559355,0.0,0.039091510593191735
2023-07-31,0.19233038348082596,0.21887905604719765,0.09793510324483776,0.0,0.08141592920353982,0.18171091445427728,0.0,0.07787610619469026,0.017699115044247787,0.014749262536873156,0.032448377581120944,0.0,0.08495575221238938
2023-08-07,0.073715400737154,0.11415769314157691,0.0,0.20958300209583,0.099732600997326,0.042639300426393,0.069379200693792,0.09539640095396401,0.0,0.06124159861241599,0.040471200404712006,0.0,0.193683601936836
2023-08-14,0.23577235772357724,0.3516260162601626,0.16869918699186992,0.0,0.1402439024390244,0.0,0.0,0.0,0.0,0.0,0.028455284552845527,0.0,0.07520325203252033
2023-08-21,0.11708253358925144,0.11900191938579655,0.0,0.0,0.1324376199616123,0.2783109404990403,0.0,0.12667946257197696,0.14587332053742802,0.0,0.0,0.0,0.08061420345489444
2023-08-28,0.02312925170068027,0.0,0.0,0.0,0.031292517006802724,0.0,0.03854875283446712,0.0,0.0,0.0,0.0,0.9070294784580499,0.0
2023-09-04,0.07073459962136183,0.19831485218549105,0.0690702561008592,0.23036178667276921,0.0,0.09131420725237688,0.016643435205026313,0.05492333617658684,0.03120644100942434,0.016289762206919505,0.0,0.0,0.22114132356918462
2023-09-11,0.14107883817427386,0.07261410788381743,0.0,0.16182572614107885,0.2863070539419087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3381742738589212
2023-09-18,0.17662337662337663,0.14025974025974025,0.0,0.0,0.0,0.0,0.35064935064935066,0.17142857142857143,0.0,0.0,0.06233766233766234,0.0,0.0987012987012987
2023-09-25,0.13666352497643733,0.11875589066918002,0.31291234684260133,0.0,0.13383600377002827,0.0,0.0,0.0,0.0,0.0,0.02827521206409048,0.0,0.2695570216776626
2023-10-02,0.10386965376782077,0.0,0.0,0.0,0.0,0.285132382892057,0.0,0.0,0.0,0.0,0.0,0.0,0.6109979633401222
2023-10-09,0.16283716283716285,0.2017982017982018,0.16583416583416583,0.07992007992007992,0.0,0.05194805194805195,0.045454545454545456,0.06593406593406594,0.030469530469530468,0.0,0.023976023976023976,0.0,0.17182817182817184
2023-10-16,0.04997389756243391,0.029984338537460346,0.07406845531575025,0.49884658459643844,0.063359762980943,0.0,0.0,0.02944890392071998,0.03480325008812361,0.024986948781216954,0.005354346167403633,0.0,0.18917351204950986
2023-10-23,,,,,,,,,,,,,
2023-10-30,0.14048825426070935,0.11946683555964994,0.0477890373099954,0.06985260248733302,0.11803316444035007,0.18366536158452326,0.0,0.0,0.08751727314601566,0.0955780746199908,0.006909258406264394,0.0,0.13070013818516812
2023-11-06,0.3761194029850746,0.3761194029850746,0.24776119402985075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-13,0.2961832061068702,0.0,0.1267175572519084,0.03816793893129771,0.1083969465648855,0.0,0.0,0.0,0.0,0.0,0.07022900763358779,0.0,0.3603053435114504
2023-11-20,0.05688888888888889,0.22755555555555557,0.0,0.08533333333333333,0.0,0.0,0.0,0.058666666666666666,0.0,0.0,0.0,0.0,0.5715555555555556
2023-11-27,0.016311804949193525,0.0,0.0,0.11706118845891823,0.0,0.024947466392884213,0.12473733196442106,0.0,0.0,0.021109394640132798,0.0,0.0,0.6958328135944502
2023-12-04,0.12462168628880192,0.0312950609263338,0.03287962097323678,0.08654470836172336,0.056251881665055695,0.15294173572707537,0.06932450205200526,0.0,0.0,0.022183840656641682,0.0,0.0,0.4239569633491261
2023-12-11,0.19868995633187772,0.12008733624454149,0.0906113537117904,0.04148471615720524,0.22379912663755458,0.06222707423580786,0.0982532751091703,0.07205240174672489,0.0,0.0,0.0,0.0,0.0927947598253275
2023-12-18,0.0,0.0,0.0,0.0,0.0,0.34243542435424357,0.0,0.0,0.0,0.0,0.0,0.0,0.6575645756457564
2023-12-25,0.07309644670050762,0.14720812182741116,0.0,0.2649746192893401,0.14416243654822336,0.0,0.0,0.06700507614213198,0.08121827411167512,0.0,0.0,0.0,0.22233502538071065
2024-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-01-08,0.20399925286402126,0.039432176656151424,0.08612817532790969,0.06641208699983397,0.0,0.0,0.16914328407770216,0.0,0.08705171841275113,0.0,0.02490453262493774,0.0,0.3229287730366927
2024-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-01-22,0.0,0.49122807017543857,0.0,0.0,0.0,0.0,0.14619883040935672,0.19298245614035087,0.0,0.0,0.0,0.0,0.1695906432748538
2024-01-29,,,,,,,,,,,,,
2024-02-05,0.1408635261744087,0.013103583830177554,0.20392452335713818,0.2726528205464194,0.0,0.0789818515363952,0.06387997117211558,0.0,0.0,0.0320628316844657,0.04504356941623534,0.0,0.1494873222826443
2024-02-12,0.1275418930921122,0.07197908818069697,0.069874436479507,0.02226721499858988,0.1759488822194815,0.026097681094755628,0.052195362189511256,0.05556280491141521,0.07955583430498087,0.0,0.010102328165711856,0.0,0.3088744743632376
2024-02-19,,,,,,,,,,,,,
2024-02-26,0.32727272727272727,0.25757575757575757,0.0,0.11515151515151516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
2024-03-04,0.14035087719298245,0.3742690058479532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4853801169590643
2024-03-11,0.22131147540983606,0.13114754098360656,0.0,0.0,0.0,0.2336065573770492,0.08196721311475409,0.27049180327868855,0.0,0.0,0.0,0.0,0.06147540983606557
2024-03-18,,,,,,,,,,,,,
2024-03-25,0.3803230543318649,0.35389133627019087,0.0,0.04698972099853157,0.0,0.12848751835535976,0.0,0.09030837004405286,0.0,0.0,0.0,0.0,0.0
2024-04-01,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0
2024-04-08,0.13394725826705733,0.0,0.18208455420678107,0.100460443700293,0.0,0.0,0.0,0.0,0.0,0.0,0.0502302218501465,0.0,0.5332775219757221
2024-04-15,,,,,,,,,,,,,
2024-04-22,0.0,0.4883720930232558,0.0,0.0,0.0,0.0,0.0,0.5116279069767442,0.0,0.0,0.0,0.0,0.0
2024-04-29,0.23233695652173914,0.20516304347826086,0.11820652173913043,0.09578804347826086,0.0,0.07608695652173914,0.057744565217391304,0.08967391304347826,0.0,0.0,0.05638586956521739,0.0,0.06861413043478261
2024-05-06,,,,,,,,,,,,,
2024-05-13,,,,,,,,,,,,,
2024-05-20,,,,,,,,,,,,,
2024-05-27,,,,,,,,,,,,,
2024-06-03,0.12032789350981425,0.0,0.16357073023990373,0.13536888019854101,0.0,0.3217643077385876,0.12032789350981425,0.0,0.0,0.0,0.02256148003309017,0.0,0.11607881477024892
2024-06-10,,,,,,,,,,,,,
2024-06-17,,,,,,,,,,,,,
2024-06-24,,,,,,,,,,,,,
2024-07-01,,,,,,,,,,,,,
2024-07-08,,,,,,,,,,,,,
2024-07-15,,,,,,,,,,,,,
2024-07-22,,,,,,,,,,,,,
2024-07-29,,,,,,,,,,,,,
2024-08-05,,,,,,,,,,,,,
2024-08-12,,,,,,,,,,,,,
2024-08-19,,,,,,,,,,,,,
2024-08-26,,,,,,,,,,,,,
2024-09-02,,,,,,,,,,,,,
2024-09-09,,,,,,,,,,,,,
2024-09-16,,,,,,,,,,,,,
2024-09-23,,,,,,,,,,,,,
2024-09-30,,,,,,,,,,,,,
2024-10-07,,,,,,,,,,,,,
2024-10-14,,,,,,,,,,,,,
2024-10-21,,,,,,,,,,,,,
2024-10-28,,,,,,,,,,,,,
2024-11-04,,,,,,,,,,,,,
2024-11-11,,,,,,,,,,,,,
2024-11-18,,,,,,,,,,,,,
2024-11-25,,,,,,,,,,,,,
2024-12-02,,,,,,,,,,,,,
2024-12-09,,,,,,,,,,,,,
2024-12-16,,,,,,,,,,,,,
2024-12-23,,,,,,,,,,,,,
2024-12-30,,,,,,,,,,,,,
2025-01-06,,,,,,,,,,,,,
2025-01-13,,,,,,,,,,,,,
2025-01-20,,,,,,,,,,,,,
2025-01-27,,,,,,,,,,,,,
2025-02-03,,,,,,,,,,,,,
2025-02-10,,,,,,,,,,,,,
2025-02-17,,,,,,,,,,,,,
2025-02-24,,,,,,,,,,,,,
2025-03-03,,,,,,,,,,,,,
2025-03-10,,,,,,,,,,,,,
