etapa,origen,fecha_objetivo,horizonte,entrenamiento_inicio,ultima_etiqueta_entrenamiento,n_entrenamiento_observado,objetivo_observado,motivo
validacion_interna,2023-10-16,2023-10-16,1,2022-10-17,2023-10-09,43,True,
validacion_interna,2023-10-16,2023-10-23,2,2022-10-17,2023-10-09,42,False,semana_incierta
validacion_interna,2023-10-16,2023-10-30,3,2022-10-17,2023-10-09,41,True,
validacion_interna,2023-10-16,2023-11-06,4,2022-10-17,2023-10-09,40,True,
validacion_interna,2023-10-23,2023-10-23,1,2022-10-17,2023-10-16,44,False,semana_incierta
validacion_interna,2023-10-23,2023-10-30,2,2022-10-17,2023-10-16,43,True,
validacion_interna,2023-10-23,2023-11-06,3,2022-10-17,2023-10-16,42,True,
validacion_interna,2023-10-23,2023-11-13,4,2022-10-17,2023-10-16,41,True,
validacion_interna,2023-10-30,2023-10-30,1,2022-10-17,2023-10-16,44,True,
validacion_interna,2023-10-30,2023-11-06,2,2022-10-17,2023-10-16,43,True,
validacion_interna,2023-10-30,2023-11-13,3,2022-10-17,2023-10-16,42,True,
validacion_interna,2023-10-30,2023-11-20,4,2022-10-17,2023-10-16,41,True,
validacion_interna,2023-11-06,2023-11-06,1,2022-10-17,2023-10-30,45,True,
validacion_interna,2023-11-06,2023-11-13,2,2022-10-17,2023-10-30,44,True,
validacion_interna,2023-11-06,2023-11-20,3,2022-10-17,2023-10-30,43,True,
validacion_interna,2023-11-06,2023-11-27,4,2022-10-17,2023-10-30,42,True,
validacion_interna,2023-11-13,2023-11-13,1,2022-10-17,2023-11-06,46,True,
validacion_interna,2023-11-13,2023-11-20,2,2022-10-17,2023-11-06,45,True,
validacion_interna,2023-11-13,2023-11-27,3,2022-10-17,2023-11-06,44,True,
validacion_interna,2023-11-13,2023-12-04,4,2022-10-17,2023-11-06,43,True,
validacion_interna,2023-11-20,2023-11-20,1,2022-10-17,2023-11-13,47,True,
validacion_interna,2023-11-20,2023-11-27,2,2022-10-17,2023-11-13,46,True,
validacion_interna,2023-11-20,2023-12-04,3,2022-10-17,2023-11-13,45,True,
validacion_interna,2023-11-20,2023-12-11,4,2022-10-17,2023-11-13,44,True,
validacion_interna,2023-11-27,2023-11-27,1,2022-10-17,2023-11-20,48,True,
validacion_interna,2023-11-27,2023-12-04,2,2022-10-17,2023-11-20,47,True,
validacion_interna,2023-11-27,2023-12-11,3,2022-10-17,2023-11-20,46,True,
validacion_interna,2023-11-27,2023-12-18,4,2022-10-17,2023-11-20,45,True,
validacion_interna,2023-12-04,2023-12-04,1,2022-10-17,2023-11-27,49,True,
validacion_interna,2023-12-04,2023-12-11,2,2022-10-17,2023-11-27,48,True,
validacion_interna,2023-12-04,2023-12-18,3,2022-10-17,2023-11-27,47,True,
validacion_interna,2023-12-04,2023-12-25,4,2022-10-17,2023-11-27,46,True,
evaluacion,2024-01-01,2024-01-01,1,2022-10-17,2023-12-25,53,False,semana_incierta
evaluacion,2024-01-01,2024-01-08,2,2022-10-17,2023-12-25,52,True,
evaluacion,2024-01-01,2024-01-15,3,2022-10-17,2023-12-25,51,True,
evaluacion,2024-01-01,2024-01-22,4,2022-10-17,2023-12-25,50,True,
evaluacion,2024-01-08,2024-01-08,1,2022-10-17,2023-12-25,53,True,
evaluacion,2024-01-08,2024-01-15,2,2022-10-17,2023-12-25,52,True,
evaluacion,2024-01-08,2024-01-22,3,2022-10-17,2023-12-25,51,True,
evaluacion,2024-01-08,2024-01-29,4,2022-10-17,2023-12-25,50,False,semana_incierta
evaluacion,2024-01-15,2024-01-15,1,2022-10-17,2024-01-08,54,True,
evaluacion,2024-01-15,2024-01-22,2,2022-10-17,2024-01-08,53,True,
evaluacion,2024-01-15,2024-01-29,3,2022-10-17,2024-01-08,52,False,semana_incierta
evaluacion,2024-01-15,2024-02-05,4,2022-10-17,2024-01-08,51,True,
evaluacion,2024-01-22,2024-01-22,1,2022-10-17,2024-01-15,55,True,
evaluacion,2024-01-22,2024-01-29,2,2022-10-17,2024-01-15,54,False,semana_incierta
evaluacion,2024-01-22,2024-02-05,3,2022-10-17,2024-01-15,53,True,
evaluacion,2024-01-22,2024-02-12,4,2022-10-17,2024-01-15,52,True,
evaluacion,2024-01-29,2024-01-29,1,2022-10-17,2024-01-22,56,False,semana_incierta
evaluacion,2024-01-29,2024-02-05,2,2022-10-17,2024-01-22,55,True,
evaluacion,2024-01-29,2024-02-12,3,2022-10-17,2024-01-22,54,True,
evaluacion,2024-01-29,2024-02-19,4,2022-10-17,2024-01-22,53,False,semana_incierta
evaluacion,2024-02-05,2024-02-05,1,2022-10-17,2024-01-22,56,True,
evaluacion,2024-02-05,2024-02-12,2,2022-10-17,2024-01-22,55,True,
evaluacion,2024-02-05,2024-02-19,3,2022-10-17,2024-01-22,54,False,semana_incierta
evaluacion,2024-02-05,2024-02-26,4,2022-10-17,2024-01-22,53,True,
evaluacion,2024-02-12,2024-02-12,1,2022-10-17,2024-02-05,57,True,
evaluacion,2024-02-12,2024-02-19,2,2022-10-17,2024-02-05,56,False,semana_incierta
evaluacion,2024-02-12,2024-02-26,3,2022-10-17,2024-02-05,55,True,
evaluacion,2024-02-12,2024-03-04,4,2022-10-17,2024-02-05,54,True,
evaluacion,2024-02-19,2024-02-19,1,2022-10-17,2024-02-12,58,False,semana_incierta
evaluacion,2024-02-19,2024-02-26,2,2022-10-17,2024-02-12,57,True,
evaluacion,2024-02-19,2024-03-04,3,2022-10-17,2024-02-12,56,True,
evaluacion,2024-02-19,2024-03-11,4,2022-10-17,2024-02-12,55,True,
evaluacion,2024-02-26,2024-02-26,1,2022-10-17,2024-02-12,58,True,
evaluacion,2024-02-26,2024-03-04,2,2022-10-17,2024-02-12,57,True,
evaluacion,2024-02-26,2024-03-11,3,2022-10-17,2024-02-12,56,True,
evaluacion,2024-02-26,2024-03-18,4,2022-10-17,2024-02-12,55,False,semana_incierta
evaluacion,2024-03-04,2024-03-04,1,2022-10-17,2024-02-26,59,True,
evaluacion,2024-03-04,2024-03-11,2,2022-10-17,2024-02-26,58,True,
