horizonte,stat,ml,peso,mse,n
1,ss_ar1,hgb,0.5,1.2465016667818911,3
2,ss_ar1,hgb,0.5,5.599876531519919,3
3,ss_ar1,hgb,0.5,10.341701464025178,2
4,ss_ar1,hgb,0.5,40.39747656725994,2
