etapa,origen,fecha_objetivo,horizonte,entrenamiento_inicio,ultima_etiqueta_entrenamiento,n_entrenamiento_observado,objetivo_observado,motivo
validacion_interna,2023-02-06,2023-02-06,1,2021-05-03,2023-01-30,80,True,
validacion_interna,2023-02-06,2023-02-13,2,2021-05-03,2023-01-30,79,True,
validacion_interna,2023-02-06,2023-02-20,3,2021-05-03,2023-01-30,78,True,
validacion_interna,2023-02-06,2023-02-27,4,2021-05-03,2023-01-30,77,True,
validacion_interna,2023-02-13,2023-02-13,1,2021-05-03,2023-02-06,81,True,
validacion_interna,2023-02-13,2023-02-20,2,2021-05-03,2023-02-06,80,True,
validacion_interna,2023-02-13,2023-02-27,3,2021-05-03,2023-02-06,79,True,
validacion_interna,2023-02-13,2023-03-06,4,2021-05-03,2023-02-06,78,False,semana_incierta
validacion_interna,2023-02-20,2023-02-20,1,2021-05-03,2023-02-13,82,True,
validacion_interna,2023-02-20,2023-02-27,2,2021-05-03,2023-02-13,81,True,
validacion_interna,2023-02-20,2023-03-06,3,2021-05-03,2023-02-13,80,False,semana_incierta
validacion_interna,2023-02-20,2023-03-13,4,2021-05-03,2023-02-13,79,True,
evaluacion,2023-03-20,2023-03-20,1,2021-05-03,2023-03-13,85,True,
evaluacion,2023-03-20,2023-03-27,2,2021-05-03,2023-03-13,84,True,
evaluacion,2023-03-20,2023-04-03,3,2021-05-03,2023-03-13,83,True,
evaluacion,2023-03-20,2023-04-10,4,2021-05-03,2023-03-13,82,True,
evaluacion,2023-03-27,2023-03-27,1,2021-05-03,2023-03-20,86,True,
evaluacion,2023-03-27,2023-04-03,2,2021-05-03,2023-03-20,85,True,
evaluacion,2023-03-27,2023-04-10,3,2021-05-03,2023-03-20,84,True,
evaluacion,2023-03-27,2023-04-17,4,2021-05-03,2023-03-20,83,False,semana_incierta
evaluacion,2023-04-03,2023-04-03,1,2021-05-03,2023-03-27,87,True,
evaluacion,2023-04-03,2023-04-10,2,2021-05-03,2023-03-27,86,True,
evaluacion,2023-04-03,2023-04-17,3,2021-05-03,2023-03-27,85,False,semana_incierta
evaluacion,2023-04-03,2023-04-24,4,2021-05-03,2023-03-27,84,True,
evaluacion,2023-04-10,2023-04-10,1,2021-05-03,2023-04-03,88,True,
evaluacion,2023-04-10,2023-04-17,2,2021-05-03,2023-04-03,87,False,semana_incierta
evaluacion,2023-04-10,2023-04-24,3,2021-05-03,2023-04-03,86,True,
evaluacion,2023-04-10,2023-05-01,4,2021-05-03,2023-04-03,85,True,
evaluacion,2023-04-17,2023-04-17,1,2021-05-03,2023-04-10,89,False,semana_incierta
evaluacion,2023-04-17,2023-04-24,2,2021-05-03,2023-04-10,88,True,
evaluacion,2023-04-17,2023-05-01,3,2021-05-03,2023-04-10,87,True,
evaluacion,2023-04-17,2023-05-08,4,2021-05-03,2023-04-10,86,True,
evaluacion,2023-04-24,2023-04-24,1,2021-05-03,2023-04-10,89,True,
evaluacion,2023-04-24,2023-05-01,2,2021-05-03,2023-04-10,88,True,
evaluacion,2023-04-24,2023-05-08,3,2021-05-03,2023-04-10,87,True,
evaluacion,2023-04-24,2023-05-15,4,2021-05-03,2023-04-10,86,True,
evaluacion,2023-05-01,2023-05-01,1,2021-05-03,2023-04-24,90,True,
evaluacion,2023-05-01,2023-05-08,2,2021-05-03,2023-04-24,89,True,
evaluacion,2023-05-01,2023-05-15,3,2021-05-03,2023-04-24,88,True,
evaluacion,2023-05-01,2023-05-22,4,2021-05-03,2023-04-24,87,True,
evaluacion,2023-05-08,2023-05-08,1,2021-05-03,2023-05-01,91,True,
evaluacion,2023-05-08,2023-05-15,2,2021-05-03,2023-05-01,90,True,
evaluacion,2023-05-08,2023-05-22,3,2021-05-03,2023-05-01,89,True,
evaluacion,2023-05-08,2023-05-29,4,2021-05-03,2023-05-01,88,False,semana_incierta
evaluacion,2023-05-15,2023-05-15,1,2021-05-03,2023-05-08,92,True,
evaluacion,2023-05-15,2023-05-22,2,2021-05-03,2023-05-08,91,True,
evaluacion,2023-05-15,2023-05-29,3,2021-05-03,2023-05-08,90,False,semana_incierta
evaluacion,2023-05-15,2023-06-05,4,2021-05-03,2023-05-08,89,False,semana_incierta
evaluacion,2023-05-22,2023-05-22,1,2021-05-03,2023-05-15,93,True,
evaluacion,2023-05-22,2023-05-29,2,2021-05-03,2023-05-15,92,False,semana_incierta
evaluacion,2023-05-22,2023-06-05,3,2021-05-03,2023-05-15,91,False,semana_incierta
evaluacion,2023-05-22,2023-06-12,4,2021-05-03,2023-05-15,90,False,fuera_del_periodo
evaluacion,2023-05-29,2023-05-29,1,2021-05-03,2023-05-22,94,False,semana_incierta
evaluacion,2023-05-29,2023-06-05,2,2021-05-03,2023-05-22,93,False,semana_incierta
evaluacion,2023-05-29,2023-06-12,3,2021-05-03,2023-05-22,92,False,fuera_del_periodo
evaluacion,2023-05-29,2023-06-19,4,2021-05-03,2023-05-22,91,False,fuera_del_periodo
evaluacion,2023-06-05,2023-06-05,1,2021-05-03,2023-05-22,94,False,semana_incierta
evaluacion,2023-06-05,2023-06-12,2,2021-05-03,2023-05-22,93,False,fuera_del_periodo
evaluacion,2023-06-05,2023-06-19,3,2021-05-03,2023-05-22,92,False,fuera_del_periodo
evaluacion,2023-06-05,2023-06-26,4,2021-05-03,2023-05-22,91,False,fuera_del_periodo
